aquired,date,notes,relinquished,team
,2008-01-06,left knee injury (DNP),Othella Harrington,Bobcats
,2008-01-06,strained right hip (DNP),Jake Voskuhl,Bucks
,2008-01-06,deep left thigh bruise (DNP),Michael Redd,Bucks
,2008-01-06,sprained left wrist (DNP),Aaron Williams,Clippers
,2008-01-06,left hip bursitis (DNP),Shaquille O'Neal,Heat
,2008-01-06,sprained left ankle / back spasms (DNP),Sasha Vujacic,Lakers
,2008-01-06,dislocated right little finger (DNP),Chris Wilcox,Sonics
,2008-01-06,fractured right ankle (DNP),Oleksiy Pecherov,Wizards
,2008-01-07,torn plantaris muscle in left calf (DNP),Brent Barry,Spurs
,2008-01-07,flu (DTD),Brandan Wright,Warriors
,2008-01-08,bruised right knee (DNP),Derek Anderson,Bobcats
,2008-01-08,sore left knee (DNP),Othella Harrington,Bobcats
,2008-01-08,strained right hip (DNP),Jake Voskuhl,Bucks
,2008-01-08,bruised left quadriceps (DNP),Michael Redd,Bucks
,2008-01-08,sprained left ankle (DNP),Ronnie Price,Jazz
,2008-01-08,strained right groin (DNP),Kevin Martin,Kings
,2008-01-08,recovering from surgery on right elbow to remove bone chips (DNP),Ron Artest / Metta World Peace,Kings
,2008-01-08,sprained right ankle (DNP),Antoine Wright,Nets
,2008-01-08,dislocated right little finger (DNP),Chris Wilcox,Sonics
,2008-01-08,quadriceps injury (out indefinitely),Luke Ridnour,Sonics
,2008-01-08,fractured right ankle (DNP),Oleksiy Pecherov,Wizards
,2008-01-09,right knee injury (DNP),Derek Anderson,Bobcats
,2008-01-09,sore left knee (DNP),Othella Harrington,Bobcats
,2008-01-09,bruised left quadriceps (DNP),Michael Redd,Bucks
,2008-01-09,sore right knee (DNP),Glen Davis,Celtics
,2008-01-09,sprained left ankle / back spasms (DNP),Sasha Vujacic,Lakers
,2008-01-09,dislocated right little finger (DNP),Chris Wilcox,Sonics
,2008-01-09,appendectomy (out 2-3 weeks),Grant Hill,Suns
,2008-01-09,appendectomy (DNP),Grant Hill,Suns
,2008-01-10,lower back inflammation (DNP),Andrei Kirilenko,Jazz
,2008-01-10,strained right groin (DNP),Kevin Martin,Kings
,2008-01-10,recovering from surgery on right elbow to remove bone chips (DNP),Ron Artest / Metta World Peace,Kings
,2008-01-10,appendectomy (DNP),Grant Hill,Suns
,2008-01-10,bruised right elbow (right shoulder injury per CBC) (DNP),Shawn Marion,Suns
,2008-01-10,stomach flu (DNP),Steve Nash,Suns
,2008-01-11,bruised right knee (DNP),Derek Anderson,Bobcats
,2008-01-11,sore left knee (DNP),Othella Harrington,Bobcats
,2008-01-11,toe injury (DTD),Zaur Pachulia / Zaza Pachulia,Hawks
Renaldo Balkman,2008-01-11,returned to lineup,,Knicks
,2008-01-11,ankle injury / back spasms (DNP),Sasha Vujacic,Lakers
,2008-01-11,surgery to repair strained right groin (out 8+ weeks),Chucky Atkins,Nuggets
,2008-01-11,dislocated right little finger (DNP),Chris Wilcox,Sonics
,2008-01-11,surgery on left hip to repair torn labrum (out for season),Troy Hudson,Warriors
,2008-01-11,fractured right ankle (DNP),Oleksiy Pecherov,Wizards
,2008-01-12,strained right quad (DNP),Jeff McInnis,Bobcats
,2008-01-12,bruised right knee (DNP),Derek Anderson,Bobcats
,2008-01-12,sore left knee (DNP),Othella Harrington,Bobcats
,2008-01-12,sprained right ankle (DNP),Raymond Felton,Bobcats
,2008-01-12,recovering from surgery on right elbow to remove bone chips (DNP),Ron Artest / Metta World Peace,Kings
,2008-01-12,appendectomy (DNP),Grant Hill,Suns
,2008-01-12,fractured right ankle (DNP),Oleksiy Pecherov,Wizards
,2008-01-13,bruised/sore left calf (DNP),Steve Blake,Blazers
,2008-01-13,sprained left ankle  (DNP),Sasha Vujacic,Lakers
,2008-01-14,recovering from surgery on right elbow to remove bone chips (DNP),Ron Artest / Metta World Peace,Kings
,2008-01-14,dislocated left knee cap & bone bruise (out 8+ weeks),Andrew Bynum,Lakers
,2008-01-14,dislocated left knee cap & bone bruise (DNP),Andrew Bynum,Lakers
,2008-01-14,sprained left ankle  (DNP),Sasha Vujacic,Lakers
,2008-01-14,elbow injury (DNP),Eduardo Najera,Nuggets
,2008-01-14,undisclosed medical reason (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2008-01-15,staph infection (DNP),Kenyon Martin,Nuggets
,2008-01-15,surgery to remove testicular tumor (out indefinitely),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2008-01-15,recovering from surgery to remove testicular tumor (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2008-01-15,recovering from arthroscopic surgery on right knee (DNP),Steven Hunter,Nuggets
,2008-01-15,appendectomy (DNP),Grant Hill,Suns
,2008-01-15,sore right knee (DNP),Antonio Daniels,Wizards
,2008-01-16,sore right ankle (DNP),Antoine Wright,Nets
,2008-01-16,plantar fasciitis (DNP),Delonte West,Sonics
,2008-01-17,staph infection (DNP),Kevin Martin,Kings
,2008-01-17,sprained right ankle (DNP),Vladimir Radmanovic,Lakers
,2008-01-17,surgery to remove testicular tumor (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2008-01-17,appendectomy (DNP),Grant Hill,Suns
,2008-01-18,sore left knee (DNP),Othella Harrington,Bobcats
,2008-01-18,plantar fasciitis (DNP),Delonte West,Sonics
,2008-01-18,appendectomy (DNP),Grant Hill,Suns
,2008-01-19,sore left knee (DNP),Othella Harrington,Bobcats
,2008-01-19,staph infection (DNP),Kenyon Martin,Nuggets
,2008-01-19,recovering from surgery to remove testicular tumor (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2008-01-19,DNP,Matt Barnes,Warriors
,2008-01-20,appendectomy (DNP),Grant Hill,Suns
,2008-01-21,sore left knee (DNP),Othella Harrington,Bobcats
,2008-01-21,sore right ankle (DTD),Scot Pollard,Celtics
,2008-01-21,sprained right ankle (DNP),Vladimir Radmanovic,Lakers
,2008-01-21,hyperextended right elbow (DNP),Eduardo Najera,Nuggets
,2008-01-21,recovering from surgery to remove testicular tumor (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2008-01-22,sprained left finger (DNP),Maurice Williams / Mo Williams,Bucks
,2008-01-22,surgery on left ankle to remove bone spur (out indefinitely),Stephon Marbury,Knicks
,2008-01-23,sprained right wrist (DNP),Ben Gordon,Bulls
,2008-01-23,finger injury (DTD),Cedric Simmons,Cavaliers
,2008-01-23,sprained right ankle (DNP),Vladimir Radmanovic,Lakers
,2008-01-23,sprained left ankle (DNP),Carmelo Anthony,Nuggets
,2008-01-23,recovering from surgery to remove testicular tumor (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2008-01-24,sprained left foot (out 6-8 weeks),Aleksandar Pavlovic / Sasha Pavlovic,Cavaliers
,2008-01-24,flu (DNP),Daequan Cook,Heat
,2008-01-24,strained right quadricep (DNP),Joel Anthony,Heat
,2008-01-25,flu (DNP),Derek Anderson,Bobcats
,2008-01-25,sprained right ankle (DNP),Vladimir Radmanovic,Lakers
,2008-01-25,left wrist injury (DNP),Bostjan Nachbar,Nets
,2008-01-25,torn muscle in left calf (out 3-4 weeks),Brent Barry,Spurs
,2008-01-26,sprained left ankle (DNP),Raymond Felton,Bobcats
,2008-01-26,bruised left shin (DNP),Chris Kaman,Clippers
â¢ Aaron Williams,2008-01-26,returned to lineup,,Clippers
,2008-01-26,bruised chest (DNP),Mike Conley Jr.,Grizzlies
,2008-01-27,strained lower back,Charlie Villanueva,Bucks
,2008-01-27,strained left knee (DNP),Michael Redd,Bucks
,2008-01-27,strained abdominal muscle (DNP),Kevin Garnett,Celtics
,2008-01-27,back inflammation (DNP),Jason Hart,Jazz
,2008-01-27,sprained left ankle (DNP),Carmelo Anthony,Nuggets
,2008-01-27,recovering from surgery to remove testicular tumor (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2008-01-28,flu-like symptoms (DNP),Corey Maggette,Clippers
,2008-01-28,bruised left shin (DNP),Chris Kaman,Clippers
,2008-01-28,sprained left ankle (DNP),Carmelo Anthony,Nuggets
,2008-01-28,recovering from surgery to remove testicular tumor (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2008-01-29,strained left knee (DNP),Michael Redd,Bucks
,2008-01-29,sprained left knee (DNP),Chris Duhon,Bulls
,2008-01-29,flu (DNP),Joe Smith,Bulls
,2008-01-29,strained abdominal muscle (DNP),Kevin Garnett,Celtics
,2008-01-29,flu (DNP),Ray Allen,Celtics
,2008-01-29,stomach flu (DNP),Damien Wilkins,Sonics
,2008-01-29,strained hip flexor (DNP),Caron Butler,Wizards
,2008-01-30,strained left knee (DNP),Michael Redd,Bucks
,2008-01-30,flu (DNP),Joe Smith,Bulls
,2008-01-30,flu-like symptoms (DNP),Corey Maggette,Clippers
,2008-01-30,bruised left shin (DNP),Chris Kaman,Clippers
,2008-01-30,sore back (DNP),Pau Gasol,Grizzlies
,2008-01-30,flu (DNP),Dwyane Wade,Heat
,2008-01-30,sprained left ankle (DNP),Udonis Haslem,Heat
,2008-01-30,lower back inflammation (DNP),Jason Hart,Jazz
,2008-01-30,sprained left ankle (DNP),Carmelo Anthony,Nuggets
,2008-01-30,recovering from surgery to remove testicular tumor (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2008-01-30,strained hip flexor (DNP),Caron Butler,Wizards
,2008-01-31,hip pointer (DNP),Luke Walton,Lakers
,2008-01-31,sprained right ankle (DNP),Wally Szczerbiak,Sonics
,2008-01-31,DNP,Robert Horry,Spurs
,2008-02-01,flu-like symptoms (DNP),Corey Maggette,Clippers
,2008-02-01,flu-like symptoms (DNP),Chris Kaman,Clippers
,2008-02-01,sprained left ankle (DNP),Udonis Haslem,Heat
,2008-02-01,lower back inflammation (DNP),Jason Hart,Jazz
,2008-02-01,hip pointer (DNP),Luke Walton,Lakers
,2008-02-01,flu (DNP),Malik Allen,Nets
,2008-02-01,strained left hip flexor (DNP),Caron Butler,Wizards
,2008-02-02,sprained right ankle (DNP),Gerald Wallace,Bobcats
,2008-02-02,fractured left hand (out ~6 weeks),Ramon Sessions,Bucks
,2008-02-02,flu-like symptoms (DNP),Corey Maggette,Clippers
,2008-02-02,flu-like symptoms (DNP),Chris Kaman,Clippers
,2008-02-02,lower back inflammation (DNP),Jason Hart,Jazz
,2008-02-02,right foot injury (DNP),Jameer Nelson,Magic
,2008-02-02,stomach virus (DNP),Malik Allen,Nets
,2008-02-02,rib injury (DNP),Eduardo Najera,Nuggets
,2008-02-02,bruised left knee (DNP),Marcus Camby,Nuggets
,2008-02-02,recovering from surgery to remove testicular tumor (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2008-02-02,sprained left ankle (DNP),Jeff Green,Sonics
,2008-02-02,sprained right ankle (DNP),Wally Szczerbiak,Sonics
,2008-02-03,sore back (DNP),Pau Gasol,Lakers
,2008-02-04,strained right foot (DNP),Gerald Wallace,Bobcats
,2008-02-04,head coach missed game with flu,Mike Dunleavy Sr.,Clippers
,2008-02-04,flu (DNP),Joel Anthony,Heat
,2008-02-04,flu (DNP),Luke Jackson (b),Heat
,2008-02-04,sprained left ankle (DNP),Udonis Haslem,Heat
,2008-02-04,flu-like symptoms (DNP),Andrei Kirilenko,Jazz
,2008-02-04,lower back inflammation (DNP),Jason Hart,Jazz
,2008-02-04,bruised left knee (DNP),Marcus Camby,Nuggets
,2008-02-04,recovering from surgery to remove testicular tumor (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2008-02-04,sprained left ankle (DNP),Jeff Green,Sonics
,2008-02-05,flu-like symptoms (DNP),Awvee Storey,Bucks
,2008-02-05,strained right shoulder (DNP),Yi Jianlian / Jianlian Yi,Bucks
,2008-02-05,strained abdominal muscle (DNP),Kevin Garnett,Celtics
,2008-02-05,bone spur in left heel (DNP),(William) Tony Parker,Spurs
,2008-02-06,bruised left leg (DNP),Bobby Simmons,Bucks
,2008-02-06,strained right shoulder (DNP),Yi Jianlian / Jianlian Yi,Bucks
,2008-02-06,sprained right wrist (DNP),Ben Gordon,Bulls
,2008-02-06,bruised ribs (DNP),Kirk Hinrich,Bulls
,2008-02-06,strained abdominal muscle (DNP),Kevin Garnett,Celtics
,2008-02-06,sore lower back (DNP),Tim Thomas,Clippers
,2008-02-06,sprained left ankle (DNP),Udonis Haslem,Heat
,2008-02-06,ill (DNP),Beno Udrih,Kings
,2008-02-06,recovering from surgery to remove testicular tumor (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2008-02-06,surgery on left quadriceps (out for season) (date approximate),Steve Francis,Rockets
,2008-02-06,bone spur in left heel (DNP),(William) Tony Parker,Spurs
,2008-02-06,strained left hip flexor (DNP),Caron Butler,Wizards
,2008-02-07,sprained right wrist (DNP),Ben Gordon,Bulls
,2008-02-07,bruised ribs (DNP),Kirk Hinrich,Bulls
,2008-02-07,sprained left ankle (DNP),Udonis Haslem,Heat
,2008-02-08,ill (DNP),Jeff McInnis,Bobcats
,2008-02-08,right ankle tendinitis (DNP),Matt Carroll,Bobcats
,2008-02-08,strained right hamstring (DNP),Daniel Gibson,Cavaliers
,2008-02-08,strained abdominal muscle (DNP),Kevin Garnett,Celtics
,2008-02-08,bruised tailbone (DNP),Ronnie Brewer,Jazz
,2008-02-08,recovering from surgery to remove testicular tumor (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2008-02-08,recovering from arthroscopic surgery on right knee (DNP),Steven Hunter,Nuggets
,2008-02-08,bone spur in left heel (DNP),(William) Tony Parker,Spurs
,2008-02-08,strained left hip flexor (DNP),Caron Butler,Wizards
,2008-02-09,sprained right wrist (DNP),Ben Gordon,Bulls
,2008-02-09,bruised ribs (DNP),Kirk Hinrich,Bulls
,2008-02-09,sore lower back (DNP),Tim Thomas,Clippers
,2008-02-09,sore back (DNP),Morris Peterson,Hornets
,2008-02-09,bruised tailbone (DNP),Ronnie Brewer,Jazz
,2008-02-10,strained right foot (DNP),Gerald Wallace,Bobcats
,2008-02-10,strained right hamstring (DNP),Daniel Gibson,Cavaliers
,2008-02-10,strained abdominal muscle (DNP),Kevin Garnett,Celtics
,2008-02-10,sprained left ankle (DTD),Alexander Johnson,Heat
,2008-02-10,strained right hamstring (DNP),Jerry Stackhouse,Mavericks
,2008-02-10,sore right knee (DNP),Steven Hunter,Nuggets
,2008-02-10,bone spur in left heel (DNP),(William) Tony Parker,Spurs
,2008-02-10,sore right ankle (DNP),Antonio Daniels,Wizards
,2008-02-10,strained left hip flexor (DNP),Caron Butler,Wizards
,2008-02-11,strained right foot (DNP),Gerald Wallace,Bobcats
,2008-02-11,sore lower back (DNP),Tim Thomas,Clippers
,2008-02-11,sprained right ankle (DNP),Erick Dampier,Mavericks
,2008-02-11,strained right hamstring (DNP),Jerry Stackhouse,Mavericks
,2008-02-11,bone spur in left heel (DNP),(William) Tony Parker,Spurs
,2008-02-11,sore right ankle (DNP),Antonio Daniels,Wizards
,2008-02-11,strained left hip flexor (DNP),Caron Butler,Wizards
,2008-02-12,sprained right wrist (DNP),Ben Gordon,Bulls
,2008-02-12,strained abdominal muscle (DNP),Kevin Garnett,Celtics
,2008-02-12,sprained left ankle (DNP),Alexander Johnson,Heat
,2008-02-12,recovering from surgery to remove testicular tumor (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2008-02-12,sore right knee (DNP),Steven Hunter,Nuggets
,2008-02-13,strained right foot (DNP),Gerald Wallace,Bobcats
,2008-02-13,strained abdominal muscle (DNP),Kevin Garnett,Celtics
,2008-02-13,lower back inflammation (DNP),Jason Hart,Jazz
,2008-02-13,surgery to remove a screw from right heel (out ~6 weeks),Chris Mihm,Lakers
,2008-02-13,bruised lower back (DNP),Josh Howard,Mavericks
,2008-02-13,recovering from surgery to remove testicular tumor (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2008-02-13,sore right knee (DNP),Steven Hunter,Nuggets
,2008-02-13,sore foot / sprained right ankle (DNP),Travis Diener,Pacers
,2008-02-13,knee injury (DTD),Delonte West,Sonics
,2008-02-13,bone spur in left heel (DNP),(William) Tony Parker,Spurs
,2008-02-13,strained left hip flexor (DNP),Caron Butler,Wizards
,2008-02-14,sprained right wrist (DNP),Ben Gordon,Bulls
,2008-02-14,sprained left ankle (DNP),Alexander Johnson,Heat
,2008-02-14,bruised lower back (DNP),Josh Howard,Mavericks
,2008-02-18,groin injury (DTD),Brian Scalabrine,Celtics
,2008-02-19,recovering from surgery to remove testicular tumor (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2008-02-19,bone spur in left heel (DNP),(William) Tony Parker,Spurs
,2008-02-19,strained left hip flexor (DNP),Caron Butler,Wizards
,2008-02-20,sprained right ankle (DNP),David Harrison,Pacers
,2008-02-21,sprained left ankle (out 4-6 weeks),Daniel Gibson,Cavaliers
,2008-02-21,appendectomy (out indefinitely),Andris Biedrins,Warriors
,2008-02-22,wrist injury (DNP),Sam Cassell,Clippers
,2008-02-22,sprained right wrist (DNP),Acie Law,Hawks
,2008-02-22,strained left hip flexor (DNP),Caron Butler,Wizards
,2008-02-23,bruised wrist (DNP),Sam Cassell,Clippers
,2008-02-23,sore lower back (DNP),Chris Kaman,Clippers
,2008-02-23,sprained right wrist (DNP),Acie Law,Hawks
,2008-02-23,sprained left ankle (DNP),Linas Kleiza,Nuggets
,2008-02-23,strained left hip flexor (DNP),Caron Butler,Wizards
,2008-02-24,strained right calf (DNP),Vladimir Radmanovic,Lakers
,2008-02-24,upper respiratory infection (DNP),Chris Wilcox,Sonics
,2008-02-24,sprained right wrist (DNP),Damien Wilkins,Sonics
,2008-02-24,ill (DNP),Donyell Marshall,Sonics
,2008-02-25,sprained right wrist (DNP),Sam Cassell,Clippers
,2008-02-25,sore back (DNP),Chris Kaman,Clippers
,2008-02-25,sprained right wrist (DNP),Acie Law,Hawks
,2008-02-25,head coach missed game with flu,George Karl,Nuggets
,2008-02-25,strained left hip flexor (DNP),Caron Butler,Wizards
,2008-02-26,sprained right ankle (DNP),Brandon Roy,Blazers
,2008-02-26,sore back (DTD),Jason Hart,Jazz
,2008-02-26,flu (DTD),Jarron Collins,Jazz
,2008-02-26,strained right calf (DNP),Vladimir Radmanovic,Lakers
,2008-02-26,sprained right wrist (DNP),Damien Wilkins,Sonics
,2008-02-26,strained left hip flexor (DNP),Caron Butler,Wizards
,2008-02-27,left Achilles tendinitis (DTD),Kevin Ollie,76ers
,2008-02-27,sprained right ankle (DNP),Brandon Roy,Blazers
,2008-02-27,sprained right wrist (DNP),Sam Cassell,Clippers
,2008-02-27,sore back (DNP),Chris Kaman,Clippers
,2008-02-27,sprained right wrist (DNP),Acie Law,Hawks
,2008-02-27,flu (DNP),Marvin Williams,Hawks
,2008-02-28,strained right calf (DNP),Vladimir Radmanovic,Lakers
,2008-02-28,torn labrum in left hip (out indefinitely),Caron Butler,Wizards
,2008-02-29,sore right knee (DNP),Derek Anderson,Bobcats
,2008-02-29,DNP,Chris Kaman,Clippers
,2008-02-29,sprained left ankle (DNP),Udonis Haslem,Heat
â¢ Jarron Collins,2008-02-29,returned to lineup,,Jazz
,2008-02-29,strained right calf (DNP),Vladimir Radmanovic,Lakers
,2008-02-29,torn labrum in left hip (DNP),Caron Butler,Wizards
,2008-03-01,strained left groin (DNP),Tim Thomas,Clippers
,2008-03-01,sore right foot (DNP),Zach Randolph,Knicks
,2008-03-02,sore right knee (DNP),Derek Anderson,Bobcats
,2008-03-02,strained right calf (DNP),Vladimir Radmanovic,Lakers
,2008-03-02,torn labrum in left hip (DNP),Caron Butler,Wizards
,2008-03-03,strained left groin (DNP),Tim Thomas,Clippers
,2008-03-03,surgery on left knee to repair torn meniscus (out for season),Dorell Wright,Heat
,2008-03-03,back spasms (DNP),Renaldo Balkman,Knicks
,2008-03-03,surgery on left foot to repair stress fracture,Yao Ming,Rockets
,2008-03-04,sore right knee (DNP),Derek Anderson,Bobcats
,2008-03-04,sprained right wrist (DNP),Acie Law,Hawks
,2008-03-04,surgery on right knee to repair torn lateral meniscus (out for season),Robert Swift,Sonics
,2008-03-05,strained left groin (DNP),Tim Thomas,Clippers
,2008-03-05,sprained right wrist (DNP),Acie Law,Hawks
,2008-03-05,sprained left ankle (DNP),David West,Hornets
,2008-03-05,strained right hip (DNP),Andrei Kirilenko,Jazz
,2008-03-05,sore right foot (DNP),Ron Artest / Metta World Peace,Kings
,2008-03-05,torn labrum in left hip (DNP),Caron Butler,Wizards
,2008-03-07,sprained right wrist (DNP),Acie Law,Hawks
,2008-03-07,recovering from surgery on left knee to repair torn meniscus (DNP),Dorell Wright,Heat
,2008-03-07,sore left knee (DNP),Dwyane Wade,Heat
â¢ Earl Barron,2008-03-07,sore right knee (DNP),,Heat
,2008-03-07,strained right hip (DNP),Andrei Kirilenko,Jazz
,2008-03-07,torn labrum in left hip (DNP),Caron Butler,Wizards
,2008-03-08,abdominal strain (DTD),Aaron Williams,Clippers
,2008-03-08,sore neck (DNP),Brevin Knight,Clippers
,2008-03-08,sprained right wrist (DNP),Acie Law,Hawks
,2008-03-08,strained right hip (DNP),Andrei Kirilenko,Jazz
,2008-03-08,sore right knee (DNP),Eddy Curry,Knicks
,2008-03-08,bruised right hand (DNP),Jamal Crawford,Knicks
,2008-03-08,torn labrum in left hip (DNP),Caron Butler,Wizards
,2008-03-09,torn cartilage in right knee (DTD),Eddy Curry,Knicks
,2008-03-10,sore lower back (DNP),Chris Kaman,Clippers
,2008-03-10,hamstring injury (DNP),Marcus Banks,Heat
,2008-03-11,sore left knee (out 4-6 weeks),Eric Snow,Cavaliers
,2008-03-11,torn labrum in left hip (DNP),Caron Butler,Wizards
,2008-03-11,sprained left foot (DNP),Oleksiy Pecherov,Wizards
,2008-03-12,hyperextended right knee (DTD),Desmond Mason,Bucks
,2008-03-12,back spasms (DNP),Ben Wallace,Cavaliers
,2008-03-12,sore back (DNP),Chris Kaman,Clippers
,2008-03-12,left ankle injury (DNP),Udonis Haslem,Heat
,2008-03-12,wrist injury (DNP),Quentin Richardson,Knicks
,2008-03-14,sore back (DNP),Chris Kaman,Clippers
,2008-03-14,right hamstring injury (DNP),Marcus Banks,Heat
,2008-03-14,sore right knee (DNP),Earl Barron,Heat
,2008-03-14,sore back (DNP),Shawn Marion,Heat
,2008-03-14,tarsal tunnel syndrome in right ankle (DNP),Ime Udoka,Spurs
,2008-03-15,sore back (DNP),Chris Kaman,Clippers
,2008-03-15,DNP,Keyon Dooling,Magic
,2008-03-15,tarsal tunnel syndrome in right ankle (DNP),Ime Udoka,Spurs
,2008-03-15,strained patella tendon in left knee (DNP),Brendan Haywood,Wizards
,2008-03-16,ankle injury (DNP),Salim Stoudamire,Hawks
,2008-03-16,right hamstring injury (DNP),Marcus Banks,Heat
,2008-03-16,sore back (DNP),Shawn Marion,Heat
,2008-03-16,left ankle injury (DNP),Udonis Haslem,Heat
,2008-03-16,sprained ankle (DNP),John Salmons,Kings
,2008-03-16,wrist injury (DNP),Quentin Richardson,Knicks
,2008-03-16,sprained left ankle (DNP),Pau Gasol,Lakers
,2008-03-17,sore back (DNP),Chris Kaman,Clippers
,2008-03-17,surgery on right knee to remove loose cartilage (out ~4-6 weeks),Eddy Curry,Knicks
,2008-03-17,wrist injury (DNP),Quentin Richardson,Knicks
,2008-03-18,flu-like symptoms (DNP),Chris Duhon,Bulls
,2008-03-18,pulled right hamstring (DNP),Marcus Banks,Heat
,2008-03-18,bruised right knee (DNP),Alexander Johnson,Heat
,2008-03-18,sprained left ankle (DNP),Udonis Haslem,Heat
,2008-03-18,strained lower back (DNP),Beno Udrih,Kings
,2008-03-18,sore right knee (DTD),Kenny Thomas,Kings
,2008-03-18,sprained left foot (DNP),Spencer Hawes,Kings
,2008-03-18,sprained left ankle (DNP),Pau Gasol,Lakers
,2008-03-18,groin injury (DTD),Austin Croshere,Warriors
,2008-03-19,sore lower left leg (DNP),Brevin Knight,Clippers
,2008-03-19,sore back (DNP),Chris Kaman,Clippers
,2008-03-19,pulled right hamstring (DNP),Marcus Banks,Heat
,2008-03-19,bruised right knee (DNP),Alexander Johnson,Heat
,2008-03-19,jammed right thumb (DNP),Jason Williams,Heat
,2008-03-19,sore back (DNP),Shawn Marion,Heat
,2008-03-19,bone spur in left ankle (DNP),Udonis Haslem,Heat
,2008-03-19,bruised right quadriceps (DNP),Gordan Giricek,Suns
,2008-03-20,sprained right ankle (DNP),Kirk Hinrich,Bulls
,2008-03-20,sprained left ankle (DNP),Pau Gasol,Lakers
,2008-03-20,torn ACL in right knee (out for season),Mickael Gelabale,Sonics
,2008-03-21,sore left shoulder (DNP),Corey Maggette,Clippers
,2008-03-21,sore left leg (DNP),Brevin Knight,Clippers
,2008-03-21,sore back (DNP),Chris Kaman,Clippers
,2008-03-21,pulled right hamstring (DNP),Marcus Banks,Heat
,2008-03-21,bruised right knee (DNP),Alexander Johnson,Heat
,2008-03-21,sore back (DNP),Shawn Marion,Heat
,2008-03-21,surgery on left ankle to repair bone spur (out ~2 months),Udonis Haslem,Heat
,2008-03-21,recovering from surgery on left ankle to repair bone spur (DNP),Udonis Haslem,Heat
,2008-03-21,strained lower back (DNP),Beno Udrih,Kings
,2008-03-21,wrist injury (DNP),Quentin Richardson,Knicks
,2008-03-21,DNP,Zach Randolph,Knicks
,2008-03-21,sprained left ankle (DNP),Pau Gasol,Lakers
,2008-03-21,sprained right pinkie finger (DNP),Chris Wilcox,Sonics
,2008-03-21,bruised right knee (DNP),Nick Young,Wizards
,2008-03-22,sore back (DNP),Ben Wallace,Cavaliers
,2008-03-22,sore left leg (DNP),Brevin Knight,Clippers
,2008-03-22,sore back (DNP),Chris Kaman,Clippers
,2008-03-22,stomach virus (DNP),Tim Thomas,Clippers
,2008-03-22,pulled right hamstring (DNP),Marcus Banks,Heat
,2008-03-22,bruised right knee (DNP),Alexander Johnson,Heat
,2008-03-22,sore back (DNP),Shawn Marion,Heat
,2008-03-22,recovering from surgery on left ankle to repair bone spur (DNP),Udonis Haslem,Heat
,2008-03-22,sore back (DNP),Beno Udrih,Kings
,2008-03-22,sore right elbow (DNP),Brad Miller,Kings
,2008-03-22,sore knee & right elbow (DNP),Ron Artest / Metta World Peace,Kings
,2008-03-22,sprained right knee (DNP),Nate Robinson,Knicks
,2008-03-22,wrist injury (DNP),Quentin Richardson,Knicks
,2008-03-22,DNP,Zach Randolph,Knicks
,2008-03-22,sprained left ankle (DNP),Raja Bell,Suns
,2008-03-23,sprained left ankle (DNP),Pau Gasol,Lakers
,2008-03-23,bruised left knee (DNP),Robert Horry,Spurs
,2008-03-23,bruised right thigh (DNP),Nick Young,Wizards
,2008-03-24,pulled right hamstring (DNP),Marcus Banks,Heat
,2008-03-24,bruised right knee (DNP),Alexander Johnson,Heat
,2008-03-24,sprained right thumb (DNP),Jason Williams,Heat
,2008-03-24,sore back (DNP),Shawn Marion,Heat
,2008-03-24,recovering from surgery on left ankle to repair bone spur (DNP),Udonis Haslem,Heat
,2008-03-24,sprained right knee (DNP),Nate Robinson,Knicks
,2008-03-24,wrist injury (DNP),Quentin Richardson,Knicks
,2008-03-24,sprained left ankle (DNP),Pau Gasol,Lakers
,2008-03-24,high left ankle sprain (out 2-6 weeks),Dirk Nowitzki,Mavericks
,2008-03-24,sore left hip (DNP),Richard Hamilton,Pistons
,2008-03-24,placed on IL with dislocated pinkie finger on right hand,Chris Wilcox,Sonics
,2008-03-24,bruised right calf (DNP),Earl Watson,Sonics
,2008-03-25,sprained ankle (DNP),LaMarcus Aldridge,Blazers
,2008-03-25,sore left knee (DNP),Othella Harrington,Bobcats
,2008-03-25,abdominal strain (DNP),Aaron Williams,Clippers
,2008-03-25,sore lower back (DNP),Chris Kaman,Clippers
,2008-03-25,sore left foot (DNP),Quinton Ross,Clippers
