,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,BR_player_id,DRB,DRtg,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,ORtg,PF,PTS,Pos,STL,Season,TOV,TRB,Tm
7,5.3,.514,10.3,0.0,.133,0.3,9.3,27,0.2,fordph01,2.5,112,5.4,.502,10.7,2.2,.838,2.7,81,55,NBA,2020,0.6,109,5.5,13.0,PG,1.3,1983-84,3.1,3.1,HOU
8,2.3,.326,7.0,0.0,.000,0.6,9.9,28,0.2,fordph01,3.9,110,2.3,.298,7.6,2.6,.889,2.9,25,1,NBA,290,0.5,98,5.3,7.1,PG,1.0,1984-85,2.8,4.4,HOU
0,7.7,.667,11.6,0.0,,0.0,0.0,24,3.9,fordsh02,7.7,104,7.7,.667,11.6,0.0,,0.0,3,0,NBA,13,3.9,78,27.0,15.4,PF,0.0,2005-06,7.7,11.6,PHO
0,9.6,.473,20.2,1.5,.160,9.2,1.8,23,0.4,fordsh01,4.4,102,11.0,.375,29.4,9.6,.765,12.5,28,1,NBA,139,4.4,104,9.9,33.1,SF,2.9,1995-96,2.2,8.8,SEA
0,5.3,.393,13.4,0.2,.238,0.7,12.7,20,0.1,fordtj01,5.0,106,5.4,.384,14.2,2.8,.816,3.5,55,55,NBA,1472,1.3,93,4.4,13.9,PG,2.1,2003-04,4.9,6.3,MIL
1,6.0,.428,14.1,0.7,.337,2.1,9.7,22,0.1,fordtj01,5.1,108,6.7,.416,16.2,3.8,.754,5.1,72,70,NBA,2557,1.3,99,4.0,18.1,PG,2.1,2005-06,4.5,6.4,MIL
2,8.6,.447,19.3,0.5,.304,1.6,13.8,23,0.2,fordtj01,4.2,106,9.1,.436,20.9,5.5,.819,6.8,75,71,NBA,2243,1.2,103,4.3,24.2,PG,2.3,2006-07,5.3,5.5,TOR
3,10.2,.488,21.0,0.7,.294,2.3,13.9,24,0.0,fordtj01,3.4,108,10.9,.469,23.2,4.9,.880,5.5,51,26,NBA,1199,1.0,109,4.1,27.4,PG,2.4,2007-08,4.5,4.4,TOR
4,8.3,.467,17.8,0.8,.337,2.3,8.6,25,0.4,fordtj01,4.4,110,9.1,.452,20.1,5.4,.872,6.2,74,49,NBA,2258,1.3,108,4.0,24.4,PG,2.0,2008-09,4.0,5.7,IND
5,7.4,.484,15.3,0.3,.160,2.1,7.5,26,0.5,fordtj01,4.5,108,7.7,.445,17.4,4.3,.770,5.6,47,32,NBA,1189,1.7,101,4.2,20.1,PG,1.8,2009-10,3.7,6.2,IND
6,5.6,.417,13.4,0.4,.188,2.1,9.2,27,0.5,fordtj01,4.2,107,6.0,.386,15.5,2.3,.729,3.1,41,3,NBA,773,1.1,91,4.5,14.6,PG,2.3,2010-11,4.1,5.3,IND
7,4.6,.486,9.5,0.5,.250,2.2,12.2,28,0.5,fordtj01,4.1,104,5.1,.442,11.6,3.0,.786,3.8,14,0,NBA,191,0.8,96,6.2,13.8,PG,2.4,2011-12,6.2,4.9,SAS
0,,,,,,,6.3,23,1.7,forreba01,8.1,97,5.4,.466,11.6,2.4,.476,5.0,64,,NBA,887,4.1,94,5.1,13.2,C,1.1,1977-78,4.1,12.1,PHO
1,,,,,,,5.9,24,1.3,forreba01,7.3,103,4.2,.434,9.7,2.2,.539,4.1,75,,NBA,1243,3.9,94,5.4,10.6,C,1.0,1978-79,3.8,11.2,PHO
0,1.3,.111,12.0,0.0,.000,4.0,8.0,20,0.0,fortejo01,6.7,101,1.3,.083,16.0,5.3,1.000,5.3,8,0,NBA,39,1.3,60,1.3,8.0,SG,2.7,2001-02,4.0,8.0,BOS
1,6.3,.313,20.3,0.0,.000,1.9,7.0,21,0.0,fortejo01,4.4,105,6.3,.286,22.2,2.5,.667,3.8,17,0,NBA,86,2.5,68,3.8,15.2,SG,2.5,2002-03,6.3,7.0,SEA
0,4.5,.421,10.6,1.7,.231,7.3,5.6,23,0.0,fortsco01,5.0,108,6.1,.344,17.9,5.6,.667,8.4,10,0,NBA,95,3.4,89,2.8,19.5,PG,1.7,2011-12,5.6,8.4,TOT
1,4.7,.500,9.4,1.2,.250,4.7,5.9,23,0.0,fortsco01,4.7,112,5.9,.417,14.0,7.0,.667,10.5,4,0,NBA,46,4.7,100,3.5,19.9,PG,0.0,2011-12,5.9,9.4,LAC
2,4.3,.364,11.8,2.1,.222,9.6,5.3,23,0.0,fortsco01,5.3,104,6.4,.300,21.4,4.3,.667,6.4,6,0,NBA,49,2.1,81,2.1,19.2,PG,3.2,2011-12,5.3,7.5,HOU
0,8.1,.452,18.0,0.0,.333,0.1,2.2,21,0.9,fortsda01,7.9,112,8.2,.452,18.1,7.8,.776,10.0,80,23,NBA,1811,5.4,102,9.3,24.1,PF,1.3,1997-98,4.6,13.2,DEN
1,7.2,.499,14.3,0.0,.000,0.1,1.2,22,0.8,fortsda01,13.9,106,7.2,.495,14.5,6.3,.727,8.6,50,38,NBA,1417,7.9,115,7.9,20.6,PF,1.2,1998-99,2.9,21.8,DEN
2,8.3,.528,15.7,0.0,,0.0,1.7,23,0.3,fortsda01,13.3,103,8.3,.528,15.7,8.2,.735,11.2,55,5,NBA,856,8.4,117,10.7,24.8,PF,1.2,1999-00,4.0,21.7,BOS
3,7.3,.580,12.6,0.0,,0.0,1.3,24,0.0,fortsda01,17.3,104,7.3,.580,12.6,10.6,.778,13.6,6,6,NBA,203,7.3,134,5.5,25.1,PF,0.5,2000-01,2.5,24.6,GSW
4,7.1,.429,16.5,0.0,.250,0.1,2.9,25,0.4,fortsda01,14.0,105,7.1,.428,16.5,5.6,.795,7.1,77,76,NBA,2216,6.6,105,5.8,19.8,PF,1.0,2001-02,3.7,20.6,GSW
5,4.6,.377,12.1,0.0,.000,0.2,2.7,26,0.0,fortsda01,10.3,106,4.6,.370,12.3,4.3,.655,6.6,17,0,NBA,223,6.4,97,9.8,13.5,PF,2.1,2002-03,3.4,16.7,GSW
6,5.8,.511,11.5,0.0,,0.0,0.7,27,0.9,fortsda01,11.2,105,5.8,.511,11.5,6.2,.815,7.6,56,20,NBA,625,9.4,123,12.2,17.9,C,1.0,2003-04,3.0,20.6,DAL
7,6.2,.522,11.8,0.0,,0.0,0.4,28,0.4,fortsda01,10.0,109,6.2,.522,11.8,11.8,.880,13.5,62,0,NBA,1047,8.2,125,13.8,24.2,C,0.8,2004-05,4.7,18.2,SEA
8,5.1,.529,9.7,0.0,,0.0,0.4,29,0.4,fortsda01,8.9,114,5.1,.529,9.7,6.3,.767,8.2,23,1,NBA,276,5.9,105,14.4,16.5,C,0.8,2005-06,4.9,14.8,SEA
9,5.0,.517,9.6,0.0,.000,0.3,0.3,30,0.0,fortsda01,9.9,111,5.0,.500,9.9,3.3,.769,4.3,14,6,NBA,158,4.3,90,12.6,13.2,C,0.3,2006-07,5.0,14.2,SEA
0,,,,,,,4.4,27,0.4,fostefr01,4.6,101,8.0,.389,20.5,3.8,.844,4.5,58,,NBA,649,3.1,,5.6,19.8,SF,1.4,1973-74,,7.7,CLE
1,,,,,,,4.3,28,0.1,fostefr01,2.3,103,9.1,.417,21.9,2.9,.711,4.1,73,,NBA,1136,2.4,,5.5,21.2,SF,0.9,1974-75,,4.6,CLE
2,,,,,,,3.1,30,0.0,fostefr01,2.8,106,6.4,.401,16.0,1.9,.682,2.9,59,,NBA,689,2.1,,6.0,14.8,SF,1.0,1976-77,,4.9,BUF
0,7.9,.471,16.7,0.0,.000,0.4,3.0,22,1.8,fostegr01,8.0,107,7.9,.460,17.1,3.4,.689,5.0,54,3,NBA,606,4.2,98,9.1,19.2,PF,1.0,1990-91,3.7,12.3,WSB
1,8.0,.464,17.2,0.0,.000,0.1,3.1,23,1.1,fostegr01,9.1,108,8.0,.461,17.3,3.1,.714,4.4,49,3,NBA,548,3.9,99,7.4,19.1,PF,0.5,1991-92,3.2,13.0,WSB
2,9.1,.474,19.1,0.0,.000,0.7,3.5,24,2.3,fostegr01,8.4,110,9.1,.458,19.8,2.5,.714,3.5,43,0,NBA,298,5.3,97,9.6,20.6,PF,0.5,1992-93,4.1,13.7,TOT
3,5.8,.440,13.2,0.0,,0.0,5.8,24,2.6,fostegr01,10.0,110,5.8,.440,13.2,1.1,.667,1.6,10,0,NBA,93,4.2,88,9.0,12.7,PF,0.0,1992-93,4.8,14.3,WSB
4,10.6,.484,21.8,0.0,.000,1.0,2.4,24,2.2,fostegr01,7.7,110,10.6,.463,22.8,3.1,.722,4.3,33,0,NBA,205,5.8,100,9.8,24.2,PF,0.7,1992-93,3.8,13.4,ATL
5,10.7,.571,18.7,0.0,,0.0,0.0,25,2.7,fostegr01,8.0,110,10.7,.571,18.7,5.3,1.000,5.3,3,0,NBA,19,0.0,113,8.0,26.7,PF,0.0,1993-94,2.7,8.0,MIL
6,6.6,.485,13.5,0.3,.304,1.1,1.8,26,1.3,fostegr01,8.0,110,6.9,.472,14.6,3.6,.703,5.1,78,3,NBA,1144,3.9,100,8.4,17.6,PF,0.7,1994-95,3.3,11.9,TOT
7,7.2,.477,15.0,0.0,,0.0,2.8,26,1.4,fostegr01,6.3,107,7.2,.477,15.0,3.8,.710,5.4,17,3,NBA,299,3.1,104,9.4,18.1,PF,0.3,1994-95,3.0,9.4,CHI
8,6.3,.488,13.0,0.4,.304,1.4,1.4,26,1.2,fostegr01,8.6,111,6.8,.470,14.4,3.5,.700,5.0,61,0,NBA,845,4.2,99,8.0,17.5,PF,0.8,1994-95,3.4,12.7,MIN
9,7.0,.449,15.7,0.1,.125,0.5,1.7,27,1.5,fostegr01,8.3,107,7.1,.439,16.2,4.1,.847,4.8,73,2,NBA,803,3.5,96,8.0,18.3,C,0.5,1995-96,3.9,11.8,UTA
10,6.3,.450,14.0,0.1,.667,0.2,1.8,28,1.2,fostegr01,7.6,106,6.4,.453,14.2,3.1,.831,3.8,79,12,NBA,920,3.2,98,8.4,16.1,C,0.6,1996-97,3.1,10.8,UTA
11,6.8,.450,15.2,0.1,.222,0.3,1.9,29,1.0,fostegr01,7.0,108,6.9,.445,15.6,2.5,.770,3.2,78,49,NBA,1446,3.2,99,7.0,16.4,C,0.6,1997-98,2.5,10.2,UTA
12,6.1,.381,16.1,0.1,.250,0.5,3.0,30,1.0,fostegr01,6.6,101,6.3,.377,16.6,1.6,.619,2.5,42,1,NBA,458,3.4,85,7.6,14.2,PF,0.7,1998-99,2.9,10.0,UTA
13,6.3,.421,15.0,0.2,.200,1.1,2.9,31,1.3,fostegr01,6.5,106,6.5,.406,16.0,1.3,.643,2.0,60,5,NBA,718,1.1,89,7.5,14.5,PF,0.7,1999-00,2.0,7.7,SEA
14,6.1,.427,14.4,0.3,.333,1.0,3.7,32,1.4,fostegr01,9.6,104,6.5,.421,15.4,1.2,.714,1.6,62,8,NBA,451,3.4,94,8.8,14.5,C,1.0,2000-01,2.9,13.0,LAL
15,4.4,.400,11.1,0.0,.000,8.9,2.2,33,0.0,fostegr01,17.7,103,4.4,.222,20.0,6.7,.750,8.9,6,0,NBA,24,0.0,79,8.9,15.5,PF,0.0,2001-02,0.0,17.7,MIL
16,4.6,.390,11.7,0.1,.250,0.4,1.3,34,0.9,fostegr01,7.1,110,4.7,.385,12.1,2.6,.813,3.2,29,9,NBA,539,3.0,87,8.1,12.0,C,0.1,2002-03,3.0,10.1,TOR
0,7.8,.591,13.2,0.0,.000,0.6,3.0,23,0.6,fosteje01,12.0,97,7.8,.565,13.8,10.2,.680,15.0,19,0,NBA,86,7.2,138,10.8,25.8,C,3.0,1999-00,1.2,19.2,IND
1,4.6,.476,9.6,0.1,.286,0.3,1.5,24,1.3,fosteje01,11.4,98,4.7,.469,9.9,2.2,.516,4.2,71,9,NBA,1152,6.7,103,7.1,11.6,C,1.8,2000-01,2.4,18.1,IND
2,5.1,.462,11.1,0.1,.133,0.4,2.0,25,1.1,fosteje01,10.2,101,5.2,.449,11.5,3.2,.610,5.3,82,48,NBA,1786,6.0,105,6.8,13.7,C,2.1,2001-02,2.3,16.3,IND
3,4.2,.364,11.5,0.0,.000,0.1,3.3,26,1.4,fosteje01,10.5,98,4.2,.360,11.6,2.2,.540,4.1,77,2,NBA,802,7.7,99,6.7,10.6,C,1.8,2002-03,2.2,18.2,IND
4,5.5,.550,10.0,0.0,.000,0.1,1.8,27,0.8,fosteje01,10.1,96,5.5,.544,10.1,2.9,.669,4.3,82,79,NBA,1961,6.9,122,5.3,13.9,C,2.0,2003-04,1.7,17.1,IND
5,5.8,.527,11.0,0.0,.000,0.2,1.5,28,0.4,fosteje01,11.9,102,5.8,.519,11.2,3.1,.634,4.9,61,43,NBA,1594,7.1,118,6.4,14.7,C,1.6,2004-05,1.9,19.0,IND
6,4.7,.561,8.3,0.0,.000,0.1,1.7,29,0.9,fosteje01,11.9,100,4.7,.552,8.5,3.3,.604,5.4,63,37,NBA,1581,7.6,120,6.5,12.6,C,1.4,2005-06,2.2,19.4,IND
7,3.6,.471,7.7,0.0,.000,0.0,1.7,30,1.1,fosteje01,10.6,102,3.6,.469,7.8,2.3,.639,3.6,75,43,NBA,1740,7.5,113,6.0,9.6,C,1.9,2006-07,2.1,18.2,IND
8,5.3,.554,9.7,0.0,.000,0.1,3.4,31,0.8,fosteje01,10.5,105,5.3,.550,9.7,2.2,.593,3.8,77,52,NBA,1884,6.9,126,5.8,12.9,C,1.5,2007-08,1.6,17.4,IND
9,4.8,.506,9.4,0.1,.286,0.2,3.5,32,1.3,fosteje01,8.0,108,4.8,.501,9.6,2.6,.658,4.0,74,26,NBA,1828,5.9,115,6.2,12.3,C,1.4,2008-09,2.4,13.8,IND
10,4.3,.489,8.7,0.0,.000,0.2,4.1,33,0.8,fosteje01,9.1,107,4.3,.478,8.9,1.0,.556,1.7,16,3,NBA,255,6.6,107,8.7,9.5,C,0.6,2009-10,2.7,15.7,IND
11,4.3,.488,8.8,0.0,.000,0.2,2.5,34,1.7,fosteje01,10.2,104,4.3,.479,9.0,1.5,.563,2.6,56,3,NBA,940,8.6,122,6.8,10.1,C,1.3,2010-11,1.4,18.9,IND
12,3.0,.471,6.4,0.4,1.000,0.4,1.5,35,0.4,fosteje01,9.0,99,3.4,.500,6.8,2.3,.667,3.4,11,0,NBA,141,6.8,112,9.8,9.4,C,3.0,2011-12,2.6,15.8,IND
0,4.4,.384,11.5,0.0,.000,0.3,8.1,23,0.3,fosteja01,3.2,108,4.4,.373,11.8,1.5,.794,1.9,41,,ABA,806,1.1,82,6.7,10.3,PG,2.2,1974-75,5.0,4.2,SSL
1,6.5,.387,16.8,0.1,.125,1.0,5.8,24,0.5,fosteja01,2.8,105,6.6,.372,17.8,4.8,.609,7.8,48,,ABA,352,2.3,77,9.6,18.1,PG,2.3,1975-76,7.7,5.1,DNA
0,7.9,.480,16.5,0.7,.262,2.8,5.7,23,0.3,fostero01,2.7,110,8.6,.448,19.3,4.1,.787,5.2,80,34,NBA,1424,1.3,102,6.4,22.1,PG,1.8,1983-84,3.6,4.0,PHO
1,8.7,.480,18.1,1.5,.325,4.5,6.6,24,0.0,fostero01,1.9,109,10.2,.450,22.6,2.9,.755,3.9,79,1,NBA,1318,1.0,98,6.1,24.7,PG,2.2,1984-85,4.2,2.8,PHO
2,4.9,.409,12.1,0.6,.281,2.1,7.9,25,0.1,fostero01,3.2,110,5.5,.390,14.2,1.5,.719,2.1,48,0,NBA,704,0.6,88,5.0,13.1,PG,1.4,1985-86,4.0,3.8,PHO
0,5.8,.432,13.3,1.2,.304,3.8,1.6,20,1.8,fotsian01,6.1,107,6.9,.404,17.1,2.8,.850,3.3,28,1,NBA,320,4.1,93,3.6,17.8,PF,1.5,2001-02,3.5,10.2,MEM
0,6.3,.541,11.6,2.6,.407,6.4,5.2,20,0.1,fournev01,3.4,108,8.8,.493,17.9,3.5,.769,4.6,38,4,NBA,428,0.7,111,7.7,23.8,SG,2.2,2012-13,3.8,4.1,DEN
1,4.5,.453,10.0,2.9,.376,7.7,3.6,21,0.2,fournev01,5.5,111,7.4,.419,17.7,3.0,.756,4.0,76,4,NBA,1503,1.1,101,5.8,20.8,SG,1.1,2013-14,3.3,6.6,DEN
2,5.2,.480,10.8,2.6,.378,6.9,3.7,22,0.1,fournev01,3.8,111,7.8,.440,17.7,3.3,.728,4.5,58,32,NBA,1661,0.9,105,3.6,21.5,SG,1.2,2014-15,2.5,4.7,ORL
3,5.3,.506,10.5,3.0,.400,7.6,4.2,23,0.0,fournev01,3.7,110,8.4,.462,18.1,3.9,.836,4.6,79,71,NBA,2566,0.6,111,4.2,23.6,SF,1.9,2015-16,2.6,4.4,ORL
4,6.2,.491,12.6,2.8,.356,8.0,4.5,24,0.1,fournev01,3.7,114,9.1,.439,20.6,4.9,.805,6.1,68,66,NBA,2234,1.0,106,4.0,25.9,SG,1.5,2016-17,3.1,4.6,ORL
0,3.9,.391,9.9,0.0,,0.0,2.6,25,0.2,fowlktr01,5.0,108,3.9,.391,9.9,3.7,.774,4.8,22,17,NBA,343,5.0,107,6.1,11.5,SF,1.7,2001-02,2.0,9.9,LAC
1,5.0,.454,10.9,0.2,.222,0.8,2.1,26,0.2,fowlktr01,5.7,107,5.1,.438,11.7,4.6,.847,5.4,37,10,NBA,573,3.8,113,5.8,15.0,SF,2.3,2002-03,1.8,9.4,LAC
2,2.9,.350,8.4,0.2,.125,1.7,2.9,27,0.6,fowlktr01,7.3,96,3.1,.313,10.0,2.7,.722,3.8,36,0,NBA,261,3.8,88,7.7,9.2,SF,1.9,2003-04,2.5,11.1,DET
3,7.9,.571,13.8,1.0,.333,2.9,0.0,28,0.0,fowlktr01,4.9,106,8.8,.529,16.7,0.0,.000,2.0,8,0,NBA,56,2.9,84,6.9,18.7,SF,2.0,2004-05,4.9,7.9,IND
0,,,,,,,4.5,30,0.4,foxji01,9.4,98,6.4,.478,13.5,4.8,.823,5.9,78,,NBA,2179,4.9,,4.9,17.7,C,1.1,1973-74,,14.3,SEA
1,,,,,,,3.5,31,0.4,foxji01,9.4,97,6.5,.469,13.9,4.4,.802,5.5,75,,NBA,1766,3.3,,4.3,17.4,C,1.2,1974-75,,12.7,SEA
2,,,,,,,2.1,32,0.8,foxji01,7.7,99,5.3,.517,10.2,3.1,.785,4.0,70,,NBA,918,4.1,,6.5,13.7,C,1.4,1975-76,,11.8,MIL
3,,,,,,,1.9,33,1.0,foxji01,9.1,99,7.3,.462,15.8,3.8,.833,4.5,71,,NBA,1165,4.0,,6.3,18.4,C,0.8,1976-77,,13.1,NYN
0,7.1,.479,14.9,0.8,.329,2.3,4.1,22,1.0,foxri01,4.8,106,7.9,.459,17.1,4.5,.755,6.0,81,5,NBA,1535,2.4,102,7.5,21.0,SF,2.5,1991-92,4.0,7.2,BOS
1,8.4,.504,16.7,0.2,.174,1.1,5.3,23,1.0,foxri01,4.9,106,8.6,.484,17.8,3.8,.802,4.7,71,14,NBA,1082,2.6,105,6.2,21.2,SF,2.9,1992-93,3.6,7.4,BOS
2,7.4,.489,15.0,0.8,.330,2.4,5.2,24,1.2,foxri01,6.0,108,8.1,.467,17.4,4.2,.757,5.5,82,53,NBA,2096,2.5,103,5.8,21.2,SF,1.9,1993-94,3.8,8.5,BOS
3,6.8,.500,13.6,1.5,.413,3.7,6.8,25,0.9,foxri01,4.6,109,8.3,.481,17.2,4.7,.772,6.0,53,7,NBA,1039,3.0,114,7.6,22.8,SF,2.6,1994-95,3.8,7.6,BOS
4,6.2,.491,12.6,1.9,.364,5.2,7.1,26,0.8,foxri01,5.6,109,8.1,.454,17.9,3.8,.772,4.9,81,81,NBA,2588,3.0,108,5.6,21.9,SF,2.2,1995-96,4.2,8.7,BOS
5,6.3,.494,12.7,1.9,.363,5.3,5.4,27,0.8,foxri01,5.3,109,8.2,.456,18.0,3.9,.787,5.0,76,75,NBA,2650,2.2,108,5.3,22.2,SF,3.2,1996-97,3.4,7.5,BOS
6,5.2,.547,9.6,1.6,.325,5.0,5.2,28,0.9,foxri01,5.3,105,6.9,.471,14.6,3.2,.743,4.4,82,82,NBA,2709,1.5,105,5.9,18.6,SF,1.9,1997-98,3.8,6.8,LAL
7,6.4,.494,13.0,1.8,.337,5.3,4.9,29,0.6,foxri01,3.5,107,8.2,.448,18.3,3.7,.742,4.9,44,1,NBA,944,1.4,106,6.3,21.9,SF,1.6,1998-99,3.1,4.9,LAL
8,5.1,.464,11.1,2.1,.326,6.3,4.8,30,0.9,foxri01,4.7,100,7.2,.414,17.4,2.2,.808,2.7,82,1,NBA,1473,2.2,101,7.1,18.6,SF,1.8,1999-00,3.0,6.9,LAL
9,3.9,.488,7.9,2.7,.393,6.9,6.0,31,0.7,foxri01,5.6,106,6.6,.444,14.8,2.2,.779,2.8,82,77,NBA,2291,1.8,110,5.1,18.0,SF,1.6,2000-01,3.1,7.4,LAL
10,4.3,.479,9.0,1.5,.313,4.7,6.4,32,0.5,foxri01,6.8,103,5.8,.421,13.8,1.6,.824,1.9,82,82,NBA,2289,2.0,103,5.6,14.7,SF,1.5,2001-02,3.0,8.9,LAL
11,3.7,.460,8.1,2.5,.375,6.7,6.0,33,0.3,foxri01,6.2,106,6.2,.422,14.8,1.2,.754,1.6,76,75,NBA,2181,1.5,105,5.1,16.2,SF,1.6,2002-03,2.9,7.7,LAL
12,3.6,.464,7.7,0.9,.246,3.8,6.0,34,0.2,foxri01,4.5,104,4.5,.392,11.4,1.4,.733,1.8,38,34,NBA,846,1.8,94,6.1,11.3,SF,1.8,2003-04,3.0,6.3,LAL
0,6.5,.458,14.2,1.9,.368,5.2,6.5,23,0.6,foyera01,4.7,109,8.4,.434,19.4,4.6,.854,5.4,82,12,NBA,1879,1.4,102,5.2,23.4,PG,1.5,2006-07,4.3,6.1,MIN
1,5.7,.436,13.0,2.5,.412,6.1,6.8,24,0.1,foyera01,4.8,113,8.2,.429,19.2,2.2,.815,2.7,39,31,NBA,1259,0.5,103,4.2,21.2,PG,1.5,2007-08,3.3,5.3,MIN
2,6.1,.428,14.1,2.3,.360,6.5,6.4,25,0.5,foyera01,3.8,113,8.4,.407,20.6,4.8,.846,5.7,70,61,NBA,2494,0.7,106,4.2,23.9,SG,1.5,2008-09,3.2,4.5,MIN
3,6.1,.442,13.7,2.0,.346,5.7,7.2,26,0.3,foyera01,3.6,113,8.0,.414,19.4,4.1,.890,4.6,70,38,NBA,1667,0.5,106,3.9,22.1,PG,1.0,2009-10,3.0,4.1,WAS
4,4.5,.430,10.5,2.4,.327,7.2,5.7,27,0.7,foyera01,3.0,112,6.9,.388,17.7,4.4,.893,5.0,63,24,NBA,1551,0.4,103,4.1,20.5,SG,1.6,2010-11,3.2,3.4,LAC
5,4.1,.410,10.1,4.1,.386,10.5,4.7,28,0.8,foyera01,3.6,109,8.2,.398,20.6,2.3,.859,2.7,65,48,NBA,1682,0.8,108,4.2,22.8,SG,1.5,2011-12,2.3,4.4,LAC
6,2.7,.378,7.1,4.2,.410,10.2,3.9,29,0.6,foyera01,2.6,111,6.9,.397,17.3,2.8,.819,3.4,82,72,NBA,2249,0.4,110,4.5,20.7,SG,1.5,2012-13,2.2,3.0,UTA
7,3.4,.456,7.4,3.7,.380,9.8,5.7,30,0.8,foyera01,3.9,111,7.1,.413,17.2,3.1,.849,3.6,81,78,NBA,2485,0.7,110,4.0,21.0,SG,1.3,2013-14,2.9,4.6,DEN
8,2.5,.388,6.4,4.3,.357,12.1,5.5,31,0.5,foyera01,3.5,111,6.8,.368,18.5,2.1,.818,2.5,50,21,NBA,1087,0.4,102,4.5,20.0,SG,1.6,2014-15,2.8,3.9,DEN
9,2.9,.405,7.1,2.3,.300,7.6,4.9,32,0.9,foyera01,4.0,111,5.1,.351,14.7,1.9,.824,2.3,81,8,NBA,1642,0.7,95,4.0,14.4,SG,1.2,2015-16,2.6,4.7,TOT
10,3.1,.409,7.7,2.3,.296,7.9,5.2,32,0.7,foyera01,4.2,112,5.5,.351,15.6,1.8,.830,2.2,54,7,NBA,1070,0.7,94,3.9,15.1,SG,1.2,2015-16,2.7,4.9,DEN
11,2.3,.397,5.9,2.2,.309,7.0,4.3,32,1.1,foyera01,3.7,109,4.5,.349,12.9,1.9,.815,2.3,27,1,NBA,572,0.7,99,4.2,13.1,SG,1.1,2015-16,2.4,4.4,OKC
12,1.9,.418,4.5,2.5,.330,7.5,5.0,33,0.3,foyera01,5.4,113,4.4,.363,12.0,2.0,.857,2.3,69,40,NBA,1284,0.3,95,3.7,13.2,SG,1.3,2016-17,3.0,5.7,BRK
0,5.5,.408,13.5,0.0,.000,0.1,1.1,22,4.2,foylead01,8.9,102,5.5,.406,13.6,2.2,.435,5.0,55,1,NBA,656,5.8,82,7.5,13.2,C,1.0,1997-98,4.0,14.7,GSW
1,4.6,.430,10.6,0.0,,0.0,1.6,23,3.8,foylead01,10.1,97,4.6,.430,10.6,2.2,.490,4.5,44,0,NBA,614,6.9,95,7.9,11.3,C,1.3,1998-99,2.7,17.1,GSW
2,5.9,.508,11.6,0.0,,0.0,1.3,24,4.1,foylead01,7.6,107,5.9,.508,11.6,1.0,.378,2.7,76,59,NBA,1654,5.3,101,6.6,12.8,C,0.8,1999-00,2.2,12.9,GSW
3,5.5,.416,13.1,0.0,,0.0,1.7,25,5.5,foylead01,8.7,103,5.5,.416,13.1,1.1,.441,2.4,58,37,NBA,1457,5.5,89,4.8,12.0,C,1.1,2000-01,2.8,14.2,GSW
4,5.8,.444,13.2,0.0,,0.0,1.4,26,5.7,foylead01,8.0,104,5.8,.444,13.2,1.3,.398,3.2,79,36,NBA,1485,5.1,93,6.1,13.0,C,1.2,2001-02,2.6,13.1,GSW
5,5.3,.538,9.8,0.0,.000,0.0,1.1,27,5.8,foylead01,8.9,104,5.3,.536,9.8,2.0,.673,3.0,82,0,NBA,1787,5.0,113,6.1,12.5,C,1.1,2002-03,2.1,14.0,GSW
6,5.5,.454,12.2,0.0,,0.0,1.6,28,4.3,foylead01,10.6,100,5.5,.454,12.2,1.8,.543,3.3,44,8,NBA,572,5.0,101,6.4,12.8,C,0.6,2003-04,2.0,15.6,GSW
7,4.7,.502,9.4,0.0,,0.0,1.7,29,4.8,foylead01,8.0,104,4.7,.502,9.4,1.2,.556,2.2,78,50,NBA,1700,5.0,108,6.1,10.7,C,0.8,2004-05,1.8,13.0,GSW
8,4.3,.507,8.5,0.0,,0.0,0.9,30,3.5,foylead01,7.9,103,4.3,.507,8.5,1.2,.612,1.9,77,72,NBA,1824,4.0,100,6.1,9.7,C,1.2,2005-06,2.3,12.0,GSW
9,4.9,.565,8.7,0.0,,0.0,1.9,31,5.1,foylead01,7.6,104,4.9,.565,8.7,1.1,.440,2.5,48,6,NBA,475,5.2,110,6.2,10.9,C,1.1,2006-07,2.3,12.8,GSW
10,4.6,.458,10.2,0.0,,0.0,1.2,32,3.0,foylead01,9.1,102,4.6,.458,10.2,1.1,.471,2.3,82,0,NBA,774,4.7,99,6.2,10.4,C,1.1,2007-08,2.1,13.8,ORL
11,5.9,.636,9.2,0.0,,0.0,0.8,33,6.7,foylead01,14.3,95,5.9,.636,9.2,2.5,.500,5.0,10,0,NBA,62,7.6,121,4.2,14.3,C,0.0,2008-09,2.5,21.8,TOT
12,6.2,.636,9.7,0.0,,0.0,0.9,33,7.0,foylead01,15.0,94,6.2,.636,9.7,2.6,.500,5.3,9,0,NBA,59,7.9,121,3.5,15.0,C,0.0,2008-09,2.6,22.9,ORL
13,0.0,,0.0,0.0,,0.0,0.0,33,0.0,foylead01,0.0,118,0.0,,0.0,0.0,,0.0,1,0,NBA,3,0.0,,17.7,0.0,C,0.0,2008-09,0.0,0.0,MEM
0,3.3,.617,5.3,3.9,.370,10.5,2.7,26,0.5,frahmri01,5.0,110,7.2,.453,15.8,2.6,.885,3.0,54,0,NBA,469,1.4,127,5.7,20.8,SF,1.8,2003-04,0.8,6.4,SEA
