,3PAr,AST%,Age,BLK%,BPM,BR_player_id,DBPM,DRB%,DWS,FTr,G,Lg,MP,OBPM,ORB%,OWS,PER,Pos,STL%,Season,TOV%,TRB%,TS%,Tm,USG%,VORP,WS,WS/48
12,.332,19.3,32,0.9,4.2,chrisdo01,2.9,10.6,4.7,.312,80,NBA,2710,1.3,2.5,4.2,15.0,SG,3.3,2002-03,18.5,6.8,.590,SAC,12.7,4.2,8.9,.157
13,.206,18.6,33,1.0,1.5,chrisdo01,1.0,10.4,2.4,.250,82,NBA,2780,0.5,2.9,3.4,14.0,SG,2.8,2003-04,16.9,6.7,.544,SAC,14.9,2.5,5.7,.099
14,.187,18.3,34,0.8,-1.6,chrisdo01,0.9,10.1,1.3,.235,52,NBA,1525,-2.5,2.8,-0.4,9.9,SG,2.7,2004-05,22.1,6.5,.471,TOT,13.6,0.2,0.9,.030
15,.191,21.2,34,0.9,-1.3,chrisdo01,0.6,10.5,0.7,.275,31,NBA,996,-1.9,3.3,0.2,11.0,SG,2.2,2004-05,22.9,6.9,.494,SAC,13.2,0.2,1.0,.046
16,.180,12.8,34,0.7,-2.1,chrisdo01,1.4,9.4,0.6,.172,21,NBA,529,-3.5,1.9,-0.6,7.9,SG,3.5,2004-05,20.7,5.7,.432,ORL,14.3,0.0,0.0,-0.001
17,.038,10.9,35,0.4,-1.6,chrisdo01,1.3,7.0,0.2,.462,7,NBA,185,-2.9,1.3,-0.1,6.8,SG,2.7,2005-06,16.1,4.2,.416,DAL,9.4,0.0,0.1,.035
18,.353,14.6,36,0.9,-5.3,chrisdo01,0.0,11.6,0.1,.176,7,NBA,82,-5.3,4.4,-0.1,4.1,SG,1.9,2006-07,21.4,8.0,.355,LAC,13.1,-0.1,-0.1,-0.031
0,.500,5.8,27,1.1,-3.6,chrisdi01,-2.5,14.1,0.1,.387,31,NBA,198,-1.1,7.4,0.2,11.1,SF,0.5,2013-14,7.6,10.8,.489,PHO,17.4,-0.1,0.3,.083
0,.000,0.0,24,0.0,3.2,chrisra01,-6.6,0.0,0.0,.000,1,NBA,6,9.7,18.3,0.0,32.0,PF,0.0,2015-16,0.0,9.1,1.000,IND,14.7,0.0,0.0,.343
1,.000,2.5,25,2.4,-4.2,chrisra01,-1.2,15.2,0.2,.674,29,NBA,219,-3.0,13.5,0.3,10.4,PF,0.7,2016-17,12.5,14.4,.529,IND,13.1,-0.1,0.5,.099
0,.283,18.1,24,0.6,-6.3,chrisse01,-1.2,7.8,0.8,.139,64,NBA,973,-5.1,2.2,-0.7,5.7,PG,1.4,2016-17,15.4,4.9,.387,OKC,12.2,-1.1,0.1,.006
0,.333,0.0,26,0.0,-16.3,chrispa01,-5.7,15.9,0.0,.000,4,NBA,29,-10.6,8.0,-0.1,-2.6,SG,1.8,2014-15,7.7,12.0,.250,UTA,20.6,-0.1,-0.1,-0.150
0,.009,22.5,23,,,chubist01,,,0.9,.605,77,ABA,2441,,,6.0,17.9,SG,,1967-68,18.8,7.7,.522,ANA,24.4,,6.9,.136
1,.031,24.1,24,,,chubist01,,,1.9,.539,77,ABA,2097,,,2.2,13.8,SG,,1968-69,20.9,6.2,.497,TOT,23.7,,4.0,.093
2,.019,23.7,24,,,chubist01,,,0.4,.628,17,ABA,490,,,0.8,16.6,SG,,1968-69,21.2,7.5,.514,LAS,26.1,,1.1,.111
3,.000,29.0,24,,,chubist01,,,0.1,.286,8,ABA,54,,,-0.1,-1.2,SG,,1968-69,37.2,9.9,.381,MNP,24.7,,0.0,.033
4,.024,22.1,24,,,chubist01,,,0.9,.661,24,ABA,725,,,1.1,13.3,SG,,1968-69,21.4,5.7,.525,INA,19.8,,2.0,.131
5,.043,25.9,24,,,chubist01,,,0.5,.429,28,ABA,828,,,0.4,13.7,SG,,1968-69,19.3,5.6,.475,NYA,25.6,,0.9,.053
6,.040,20.4,25,,,chubist01,,,1.0,.565,72,ABA,1058,,,0.6,9.2,SG,,1969-70,25.6,5.8,.488,TOT,20.7,,1.7,.076
7,.051,16.0,25,,,chubist01,,,0.2,.356,11,ABA,232,,,-0.2,10.8,SG,,1969-70,18.0,7.2,.436,NYA,27.0,,0.0,.000
8,.028,22.5,25,,,chubist01,,,0.3,.598,14,ABA,306,,,0.1,11.7,SG,,1969-70,22.4,6.7,.477,PTP,20.5,,0.4,.062
9,.043,23.3,25,,,chubist01,,,0.4,.645,32,ABA,381,,,0.7,7.8,SG,,1969-70,34.5,4.8,.561,INA,18.3,,1.1,.134
10,.029,15.1,25,,,chubist01,,,0.2,.971,15,ABA,139,,,0.1,5.0,SG,,1969-70,28.1,4.1,.484,KEN,17.6,,0.2,.073
0,.000,8.0,23,0.0,-14.9,churcro01,-3.7,17.4,0.0,.000,4,NBA,20,-11.2,0.0,-0.1,1.2,SG,0.0,1995-96,20.0,8.6,.375,GSW,21.8,-0.1,-0.1,-0.166
0,,14.9,25,,,clarkar01,,,1.2,.262,76,NBA,1763,,,1.5,12.3,SG,,1966-67,,,.489,LAL,,,2.7,.075
1,,15.3,26,,,clarkar01,,,2.0,.367,81,NBA,3039,,,5.8,15.5,PG,,1967-68,,,.530,LAL,,,7.9,.124
2,,18.6,27,,,clarkar01,,,2.2,.338,82,NBA,2144,,,4.0,15.9,SG,,1968-69,,,.519,PHI,,,6.2,.139
3,,17.7,28,,,clarkar01,,,2.6,.331,76,NBA,2772,,,5.5,16.3,PG,,1969-70,,,.546,PHI,,,8.1,.140
4,,19.1,29,,,clarkar01,,,3.1,.402,82,NBA,3245,,,8.3,17.7,PG,,1970-71,,5.4,.556,PHI,,,11.4,.169
5,,28.0,30,,,clarkar01,,,3.2,.440,77,NBA,3285,,,7.7,20.5,PG,,1971-72,,3.8,.536,TOT,,,11.0,.160
6,,25.9,30,,,clarkar01,,,0.0,.688,1,NBA,42,,,0.3,24.9,PG,,1971-72,,3.2,.696,PHI,,,0.3,.339
7,,28.1,30,,,clarkar01,,,3.2,.437,76,NBA,3243,,,7.5,20.4,PG,,1971-72,,3.8,.534,BAL,,,10.7,.158
8,,25.8,31,,,clarkar01,,,2.0,.230,39,NBA,1477,,,3.6,18.3,PG,,1972-73,,4.1,.545,BAL,,,5.6,.181
9,,22.6,32,0.2,-0.2,clarkar01,-0.6,5.2,1.7,.194,56,NBA,1786,0.5,2.3,2.2,14.4,PG,1.5,1973-74,,3.8,.500,CAP,,0.8,4.0,.107
10,,25.2,33,0.1,1.1,clarkar01,-0.9,7.3,1.7,.210,77,NBA,2481,1.9,2.4,4.5,16.2,PG,2.0,1974-75,,4.9,.533,SEA,,1.9,6.2,.119
11,,18.7,34,0.1,-2.7,clarkar01,-1.5,7.3,0.7,.201,79,NBA,1589,-1.2,1.7,1.0,12.5,SG,1.8,1975-76,,4.5,.478,DET,,-0.3,1.7,.051
0,.038,17.7,23,0.4,-3.3,clarkca01,-0.3,8.6,0.2,.346,31,NBA,127,-3.0,6.5,-0.1,12.1,SG,3.0,1983-84,16.7,7.6,.451,BOS,23.3,0.0,0.1,.048
1,.033,10.3,24,0.2,-2.7,clarkca01,0.4,7.5,0.7,.349,62,NBA,562,-3.1,6.0,-0.2,8.9,SG,2.9,1984-85,19.3,6.8,.482,BOS,15.8,-0.1,0.5,.044
0,.033,7.8,22,2.4,-6.9,clarkea01,-1.1,12.3,0.2,.238,51,NBA,383,-5.8,5.6,-0.5,8.5,PF,0.9,2009-10,12.1,9.1,.420,PHO,21.9,-0.5,-0.3,-0.033
1,.032,3.1,23,3.0,-6.0,clarkea01,-0.1,15.7,0.7,.297,42,NBA,464,-5.9,9.5,-0.4,10.1,SF,0.9,2010-11,13.5,12.7,.456,TOT,20.5,-0.5,0.3,.030
2,.000,8.7,23,3.1,-6.9,clarkea01,-0.9,20.9,0.1,.323,9,NBA,72,-6.0,6.4,-0.1,11.3,SF,0.7,2010-11,5.3,13.6,.410,PHO,23.4,-0.1,0.0,-0.010
3,.039,2.1,23,3.0,-5.8,clarkea01,0.1,14.8,0.7,.291,33,NBA,392,-5.9,10.1,-0.3,9.9,SF,0.9,2010-11,15.4,12.5,.468,ORL,20.0,-0.4,0.3,.038
4,.000,5.2,24,4.5,-3.8,clarkea01,2.4,18.6,0.8,.209,45,NBA,559,-6.2,7.1,-0.5,8.1,PF,1.2,2011-12,14.1,12.8,.405,ORL,14.8,-0.3,0.3,.027
5,.269,7.4,25,2.3,-0.9,clarkea01,1.0,19.1,1.5,.197,59,NBA,1363,-2.0,6.8,0.7,12.4,PF,1.3,2012-13,12.9,13.1,.510,LAL,15.7,0.4,2.3,.080
6,.467,3.7,26,2.8,-4.8,clarkea01,-0.9,18.2,0.8,.130,54,NBA,768,-3.9,3.2,-0.4,9.1,PF,1.1,2013-14,10.1,10.5,.466,TOT,17.9,-0.5,0.3,.020
7,.483,3.6,26,2.3,-4.9,clarkea01,-1.0,17.6,0.7,.100,45,NBA,698,-3.8,3.1,-0.5,8.6,PF,1.2,2013-14,10.7,10.2,.467,CLE,17.9,-0.5,0.2,.014
8,.286,4.3,26,7.6,-3.9,clarkea01,0.9,24.2,0.1,.476,9,NBA,70,-4.8,3.3,0.0,13.5,PF,0.8,2013-14,3.8,13.4,.453,NYK,17.5,0.0,0.1,.080
9,.467,5.0,27,3.5,-6.1,clarkea01,0.5,26.5,0.1,.133,10,NBA,93,-6.6,1.2,-0.2,6.7,PF,1.7,2014-15,15.9,13.9,.425,BRK,18.5,-0.1,-0.1,-0.037
0,.463,14.7,22,0.9,-4.7,clarkia01,-2.1,11.1,0.1,.104,23,NBA,172,-2.6,1.9,-0.2,9.2,SG,2.4,2013-14,16.7,6.4,.485,UTA,22.4,-0.1,-0.1,-0.025
1,.545,9.7,23,1.2,-2.8,clarkia01,-0.8,7.1,0.2,.164,30,NBA,192,-2.0,2.4,0.0,8.8,SG,2.4,2014-15,13.2,4.8,.483,TOT,16.0,0.0,0.2,.050
2,.568,9.7,23,1.0,-3.3,clarkia01,-1.2,6.4,0.1,.114,23,NBA,161,-2.1,2.9,0.0,8.3,SG,2.0,2014-15,13.2,4.7,.476,UTA,15.1,-0.1,0.1,.044
3,.455,9.9,23,2.5,-0.2,clarkia01,1.6,10.8,0.0,.364,7,NBA,31,-1.8,0.0,0.0,11.6,SG,4.8,2014-15,13.6,5.2,.509,DEN,20.6,0.0,0.1,.083
4,.416,15.3,24,1.7,-3.0,clarkia01,-1.3,9.7,0.6,.168,66,NBA,578,-1.8,2.6,0.3,11.5,SG,1.4,2015-16,16.5,6.3,.544,GSW,19.5,-0.2,0.9,.075
5,.376,11.2,25,0.6,-2.0,clarkia01,-1.4,9.0,1.3,.134,77,NBA,1137,-0.6,2.3,1.0,13.1,SG,1.7,2016-17,10.7,5.8,.575,GSW,19.5,0.0,2.3,.099
0,.013,4.0,23,5.4,-2.6,clarkke01,1.2,17.5,0.2,.463,28,NBA,409,-3.8,9.9,0.1,11.3,C,1.3,1998-99,17.9,13.6,.483,DEN,13.0,-0.1,0.2,.029
1,.015,6.2,24,4.2,-0.1,clarkke01,1.4,20.4,2.2,.333,81,NBA,1850,-1.5,9.5,2.0,15.9,C,1.2,1999-00,17.1,14.9,.573,DEN,17.2,0.9,4.2,.109
2,.002,6.8,25,6.3,-0.3,clarkke01,2.1,19.6,2.2,.462,81,NBA,1720,-2.3,8.6,1.5,15.6,PF,1.0,2000-01,12.6,14.0,.512,TOT,18.6,0.7,3.7,.104
3,.000,7.0,25,4.0,-3.1,clarkke01,1.1,18.7,0.7,.528,35,NBA,752,-4.3,8.3,-0.2,11.0,PF,1.1,2000-01,16.4,13.4,.463,DEN,17.4,-0.2,0.5,.031
4,.003,6.6,25,8.0,1.9,clarkke01,2.8,20.3,1.6,.422,46,NBA,968,-0.8,8.9,1.7,19.2,PF,0.9,2000-01,10.0,14.4,.544,TOR,19.5,1.0,3.2,.161
5,.006,7.1,26,4.2,-0.5,clarkke01,1.6,22.9,3.6,.297,81,NBA,2185,-2.0,9.3,1.7,16.7,C,1.4,2001-02,13.8,15.8,.522,TOR,21.2,0.8,5.3,.116
6,.009,6.5,27,5.6,1.1,clarkke01,3.6,17.9,3.4,.284,80,NBA,1780,-2.5,8.8,1.3,13.9,C,1.1,2002-03,15.6,13.6,.528,SAC,14.9,1.4,4.7,.127
7,.000,6.1,28,0.0,-5.5,clarkke01,0.0,28.0,0.0,.000,2,NBA,27,-5.6,4.5,0.0,8.8,PF,2.1,2003-04,0.0,16.1,.333,UTA,10.3,0.0,0.0,.058
0,.067,10.7,24,,,clarkri01,,,0.9,.527,26,ABA,414,,,-0.7,5.2,PG,,1967-68,15.2,5.4,.379,MNM,18.6,,0.2,.026
1,.036,12.5,25,,,clarkri01,,,0.6,.559,32,ABA,723,,,-0.9,3.8,SG,,1968-69,20.9,5.2,.394,HSM,17.4,,-0.4,-0.024
0,.500,0.0,23,0.0,-9.5,clarkco01,-9.7,18.0,0.0,.000,3,NBA,6,0.2,0.0,0.0,23.9,SF,0.0,2015-16,20.0,8.8,.750,BOS,35.5,0.0,0.0,.025
0,.203,23.8,22,0.7,-0.3,clarkjo01,-1.7,10.5,0.4,.265,59,NBA,1476,1.4,4.0,2.0,16.9,PG,1.8,2014-15,12.6,7.1,.528,LAL,23.0,0.6,2.4,.078
1,.291,13.8,23,0.2,-1.4,clarkjo01,-2.0,9.6,0.4,.186,79,NBA,2552,0.6,3.8,1.7,14.3,SG,1.7,2015-16,10.2,6.6,.516,LAL,22.8,0.4,2.1,.039
2,.332,14.4,24,0.3,-2.7,clarkjo01,-2.3,9.3,0.7,.157,82,NBA,2397,-0.5,2.2,0.5,13.2,SG,1.8,2016-17,12.5,5.6,.526,LAL,23.3,-0.4,1.2,.024
0,.460,7.9,24,1.1,-3.3,clavevi01,0.0,12.8,0.5,.159,49,NBA,812,-3.3,4.4,-0.6,7.0,SF,1.7,2012-13,17.5,8.5,.462,POR,13.9,-0.3,-0.1,-0.005
1,.429,9.1,25,1.1,-3.0,clavevi01,0.0,17.4,0.2,.262,21,NBA,184,-3.0,5.3,0.0,8.8,SF,0.8,2013-14,19.0,11.4,.502,POR,13.7,0.0,0.2,.047
2,.550,1.9,26,0.9,-4.2,clavevi01,-1.3,23.5,0.1,.000,10,NBA,76,-2.9,4.3,0.0,9.2,SF,0.7,2014-15,16.7,14.1,.600,POR,14.1,0.0,0.1,.086
0,.000,5.8,24,,,clawsjo01,,,0.8,.175,70,ABA,1067,,,0.6,7.0,SF,,1968-69,18.0,8.1,.497,OAK,13.0,,1.3,.060
0,.000,0.0,25,10.0,-11.1,claxtch01,-2.6,0.0,0.0,1.000,3,NBA,7,-8.5,31.2,0.0,0.2,C,0.0,1995-96,25.8,16.0,.347,BOS,23.9,0.0,0.0,-0.179
0,.073,21.9,23,0.3,-0.7,claxtsp01,1.0,8.4,2.4,.301,67,NBA,1528,-1.6,3.5,0.4,12.6,PG,3.4,2001-02,15.7,5.9,.469,PHI,18.2,0.5,2.8,.087
1,.076,26.9,24,1.0,0.1,claxtsp01,0.2,8.0,0.6,.393,30,NBA,471,-0.1,5.7,0.6,15.9,PG,2.5,2002-03,17.1,6.9,.509,SAS,20.2,0.2,1.2,.125
2,.042,28.7,25,0.4,0.9,claxtsp01,0.1,8.4,1.6,.427,60,NBA,1595,0.8,2.7,2.6,17.3,PG,3.3,2003-04,14.1,5.5,.509,GSW,20.9,1.2,4.2,.127
3,.100,33.1,26,0.3,-0.5,claxtsp01,-0.4,9.1,1.8,.416,62,NBA,1866,-0.2,2.1,1.9,15.8,PG,3.0,2004-05,14.1,5.4,.493,TOT,20.1,0.7,3.7,.096
4,.104,30.9,26,0.3,0.3,claxtsp01,-0.1,9.2,1.5,.425,46,NBA,1501,0.4,2.2,2.1,16.4,PG,3.0,2004-05,13.4,5.5,.508,GSW,20.2,0.9,3.5,.113
5,.082,42.3,26,0.4,-3.9,claxtsp01,-1.4,8.8,0.4,.373,16,NBA,365,-2.5,1.6,-0.2,13.4,PG,3.3,2004-05,17.4,5.0,.422,NOH,19.7,-0.2,0.2,.027
6,.086,29.8,27,0.2,0.1,claxtsp01,-0.3,9.3,2.0,.435,71,NBA,2019,0.4,2.2,1.1,16.1,PG,2.9,2005-06,14.9,5.7,.497,NOK,23.8,1.0,3.0,.072
7,.101,28.1,28,0.3,-5.1,claxtsp01,-0.5,8.0,1.0,.216,42,NBA,1054,-4.6,1.4,-1.8,7.3,PG,3.6,2006-07,19.8,4.6,.363,ATL,16.6,-0.8,-0.7,-0.034
8,.000,32.4,30,0.0,-19.1,claxtsp01,-10.7,0.0,0.0,.286,2,NBA,15,-8.3,0.0,0.0,5.7,PG,0.0,2008-09,0.0,0.0,.317,ATL,24.6,-0.1,0.0,-0.083
0,,21.3,22,,,cleamji01,,,0.3,.360,38,NBA,201,,,-0.2,13.9,PG,,1971-72,,8.6,.423,LAL,,,0.1,.022
1,,20.3,23,,,cleamji01,,,1.6,.239,80,NBA,1392,,,1.0,12.4,PG,,1972-73,,5.8,.491,CLE,,,2.6,.089
2,,19.2,24,0.6,-2.0,cleamji01,-0.5,11.1,1.1,.244,81,NBA,1642,-1.5,3.7,0.6,12.5,PG,1.7,1973-74,,7.2,.468,CLE,,0.0,1.7,.049
3,,19.7,25,0.4,1.4,cleamji01,0.6,9.2,2.0,.236,74,NBA,2691,0.8,3.8,3.5,13.8,PG,1.5,1974-75,,6.5,.520,CLE,,2.3,5.5,.097
4,,20.5,26,0.4,2.9,cleamji01,1.1,8.6,2.9,.246,82,NBA,2835,1.7,4.3,4.2,14.9,PG,2.1,1975-76,,6.4,.509,CLE,,3.5,7.1,.120
5,,20.2,27,0.6,1.1,cleamji01,0.9,8.9,1.8,.250,60,NBA,2045,0.2,4.8,2.0,12.9,PG,1.5,1976-77,,6.8,.476,CLE,,1.6,3.8,.088
6,,16.6,28,0.4,-1.3,cleamji01,-0.4,7.2,0.9,.230,79,NBA,2009,-0.9,3.6,1.8,10.4,PG,1.5,1977-78,18.6,5.5,.518,NYK,11.4,0.3,2.7,.065
7,,19.7,29,0.2,-1.6,cleamji01,-0.8,7.2,1.1,.260,79,NBA,2390,-0.8,2.9,2.3,11.8,PG,1.4,1978-79,16.2,5.1,.513,NYK,14.3,0.2,3.4,.068
8,.069,20.4,30,0.3,-1.9,cleamji01,-0.7,5.7,1.0,.251,79,NBA,1789,-1.2,3.0,1.3,10.8,PG,1.5,1979-80,17.9,4.3,.519,TOT,13.4,0.0,2.3,.063
9,.116,18.7,30,0.4,-3.8,cleamji01,-2.0,3.9,0.1,.217,22,NBA,254,-1.8,4.2,0.2,11.1,PG,2.3,1979-80,18.4,4.1,.496,NYK,14.0,-0.1,0.3,.048
10,.060,20.7,30,0.3,-1.6,cleamji01,-0.5,5.9,0.9,.257,57,NBA,1535,-1.1,2.8,1.2,10.7,PG,1.3,1979-80,17.8,4.3,.523,WSB,13.3,0.2,2.1,.065
0,.043,26.8,23,0.1,-5.2,cleavma01,-1.0,9.1,1.2,.343,78,NBA,1268,-4.1,2.2,-1.3,9.0,PG,2.0,2000-01,23.2,5.6,.458,DET,20.5,-1.0,-0.1,-0.006
1,.118,25.9,24,0.0,-9.8,cleavma01,-3.3,4.8,0.2,.132,32,NBA,153,-6.5,0.7,-0.4,8.8,PG,2.3,2001-02,27.3,2.8,.486,SAC,28.1,-0.3,-0.3,-0.082
2,.043,25.7,25,0.0,-15.8,cleavma01,-1.0,13.0,0.1,.174,12,NBA,55,-14.8,2.1,-0.4,-3.7,PG,1.8,2002-03,36.1,7.8,.323,SAC,31.1,-0.2,-0.4,-0.325
3,.043,31.3,26,1.5,-7.2,cleavma01,-1.9,7.2,0.1,.087,4,NBA,92,-5.3,1.2,-0.1,6.8,PG,2.3,2003-04,17.3,4.2,.314,CLE,14.1,-0.1,0.0,-0.024
4,.143,16.5,27,0.0,-4.1,cleavma01,-1.4,7.5,0.0,.286,14,NBA,65,-2.7,3.8,0.0,9.1,PG,1.7,2004-05,11.3,5.6,.412,SEA,12.6,0.0,0.0,.029
5,.225,27.4,28,0.7,-8.1,cleavma01,-5.4,6.4,-0.1,.338,27,NBA,230,-2.7,1.0,0.1,9.1,PG,0.7,2005-06,14.7,3.7,.448,SEA,18.6,-0.4,0.0,-0.005
0,,10.3,22,,,clemeba01,,,0.2,.199,70,NBA,877,,,-0.2,10.7,SF,,1965-66,,,.442,NYK,,,0.1,.003
1,,5.4,23,,,clemeba01,,,1.0,.203,60,NBA,986,,,0.0,10.4,SF,,1966-67,,,.455,CHI,,,0.9,.045
2,,8.6,24,,,clemeba01,,,1.6,.254,78,NBA,1631,,,1.2,13.3,SF,,1967-68,,,.487,CHI,,,2.8,.081
3,,12.6,25,,,clemeba01,,,2.0,.199,75,NBA,1444,,,-1.9,10.9,SF,,1968-69,,,.404,CHI,,,0.1,.004
4,,10.3,26,,,clemeba01,,,0.8,.235,78,NBA,1487,,,0.9,12.1,SF,,1969-70,,,.496,SEA,,,1.7,.054
5,,9.7,27,,,clemeba01,,,0.6,.217,78,NBA,1286,,,1.2,12.2,SF,,1970-71,,8.7,.501,SEA,,,1.8,.068
6,,6.3,28,,,clemeba01,,,0.8,.186,82,NBA,1447,,,2.6,12.4,SF,,1971-72,,9.5,.554,SEA,,,3.5,.115
7,,15.2,29,,,clemeba01,,,1.3,.168,72,NBA,1119,,,2.2,14.9,SF,,1972-73,,9.1,.541,CLE,,,3.5,.150
8,,12.8,30,0.1,-2.2,clemeba01,-1.1,14.8,0.7,.211,71,NBA,913,-1.1,4.5,0.9,13.4,SF,1.8,1973-74,,9.3,.513,CLE,,0.0,1.6,.086
9,,11.7,31,0.1,-1.9,clemeba01,0.3,13.5,1.3,.169,77,NBA,952,-2.2,3.8,0.3,13.2,SF,3.3,1974-75,,8.9,.499,POR,,0.0,1.6,.079
10,,10.5,32,0.8,-1.4,clemeba01,0.1,9.7,0.5,.245,49,NBA,443,-1.5,6.4,0.6,13.8,SF,2.7,1975-76,,8.1,.540,POR,,0.1,1.1,.116
0,,,28,,,cliftna01,,,1.2,.401,65,NBA,,,,-1.7,,PF,,1950-51,,,.364,NYK,,,-0.4,
1,,,29,,,cliftna01,,,2.3,.351,62,NBA,2101,,,-0.7,16.4,PF,,1951-52,,,.391,NYK,,,1.6,.036
2,,,30,,,cliftna01,,,4.4,.432,70,NBA,2496,,,-1.1,15.4,PF,,1952-53,,,.394,NYK,,,3.3,.064
3,,,31,,,cliftna01,,,1.7,.396,72,NBA,2179,,,0.7,14.8,PF,,1953-54,,,.419,NYK,,,2.4,.054
4,,,32,,,cliftna01,,,2.4,.352,72,NBA,2390,,,1.3,15.0,PF,,1954-55,,,.439,NYK,,,3.7,.074
5,,,33,,,cliftna01,,,1.0,.353,64,NBA,1537,,,1.1,13.9,PF,,1955-56,,,.449,NYK,,,2.1,.067
6,,,34,,,cliftna01,,,1.6,.265,71,NBA,2231,,,0.2,12.1,PF,,1956-57,,,.417,NYK,,,1.8,.040
7,,,35,,,cliftna01,,,1.2,.245,68,NBA,1435,,,-0.7,10.4,PF,,1957-58,,,.397,DET,,,0.5,.017
0,,,28,,,clossbi01,,,4.9,.288,64,NBA,,,,-0.5,,SF,,1949-50,,,.372,AND,,,4.4,
1,,,29,,,clossbi01,,,3.1,.353,65,NBA,,,,-0.3,,SF,,1950-51,,,.391,PHW,,,2.8,
2,,,30,,,clossbi01,,,0.9,.404,57,NBA,1120,,,-1.0,10.4,SF,,1951-52,,,.379,FTW,,,0.0,-0.001
0,.000,4.2,21,7.3,-3.3,closske01,1.0,16.3,0.5,.372,58,NBA,740,-4.2,9.6,0.1,14.0,C,0.8,1997-98,13.6,12.9,.482,LAC,16.7,-0.2,0.6,.041
1,.043,0.0,22,7.8,-7.3,closske01,-1.6,28.8,0.1,.435,15,NBA,87,-5.7,6.4,0.1,17.5,C,1.9,1998-99,18.0,17.0,.584,LAC,17.4,-0.1,0.2,.107
2,.015,5.0,23,6.0,-2.5,closske01,0.8,16.0,0.5,.396,57,NBA,820,-3.3,8.5,0.6,14.1,C,0.8,1999-00,12.8,12.2,.514,LAC,14.4,-0.1,1.1,.062
0,,,29,,,cloydpa01,,,0.0,.308,7,NBA,,,,-0.1,,,,1949-50,,,.322,TOT,,,-0.1,
1,,,29,,,cloydpa01,,,0.0,.375,3,NBA,,,,-0.1,,,,1949-50,,,.268,BLB,,,-0.1,
2,,,29,,,cloydpa01,,,0.0,.278,4,NBA,,,,-0.1,,,,1949-50,,,.347,WAT,,,-0.1,
0,,,29,,,cluggbo01,,,1.1,.256,54,BAA,,,,-0.1,,,,1946-47,,,.300,NYK,,,1.1,
0,,4.5,23,1.0,-5.9,clydebe01,-2.1,16.3,0.2,.125,25,NBA,157,-3.7,9.6,0.0,11.3,SF,1.4,1974-75,,13.0,.454,BOS,,-0.2,0.2,.066
0,.013,1.3,25,0.8,-7.3,cofferi01,-3.1,14.4,0.1,.293,52,NBA,320,-4.2,14.3,0.1,7.9,SF,1.0,1990-91,5.6,14.3,.402,MIN,12.1,-0.4,0.2,.037
0,.082,26.6,24,0.4,-5.8,cofiefr01,-0.8,10.1,0.6,.109,45,NBA,469,-5.0,1.4,-0.9,7.9,PG,2.1,1985-86,20.3,5.5,.428,NYK,21.6,-0.5,-0.4,-0.039
1,.091,19.0,25,0.0,-7.9,cofiefr01,0.8,17.1,0.0,.000,5,NBA,27,-8.7,4.1,-0.1,4.2,PG,3.7,1986-87,8.3,10.5,.182,CHI,18.7,0.0,-0.1,-0.119
0,.000,21.2,24,6.8,12.8,cokerjo01,-0.8,0.0,0.0,.000,5,NBA,11,13.6,21.4,0.1,37.3,C,0.0,1995-96,0.0,10.5,.800,PHO,20.2,0.0,0.1,.360
1,.000,0.0,27,1.5,-10.8,cokerjo01,-5.2,18.3,0.1,.194,14,NBA,98,-5.6,8.2,0.1,9.6,C,0.5,1998-99,5.6,13.1,.461,WAS,16.8,-0.2,0.1,.066
2,.000,8.8,29,0.0,-11.1,cokerjo01,-1.4,7.2,0.0,.000,6,NBA,32,-9.7,9.2,-0.1,-2.8,C,1.6,2000-01,20.0,8.3,.125,GSW,13.2,-0.1,-0.1,-0.192
0,.169,17.0,23,0.1,-5.9,coleno01,-1.8,6.4,1.4,.189,65,NBA,1260,-4.1,2.1,-1.4,7.9,PG,1.8,2011-12,17.7,4.3,.452,MIA,21.8,-1.2,0.0,.000
1,.231,15.2,24,0.4,-4.5,coleno01,-1.1,8.2,1.4,.188,80,NBA,1590,-3.4,1.5,-0.8,7.9,PG,1.9,2012-13,18.4,5.0,.483,MIA,17.0,-1.0,0.6,.019
2,.348,17.9,25,0.2,-3.0,coleno01,-0.8,8.6,1.7,.136,82,NBA,2014,-2.2,1.1,-0.5,8.8,PG,2.0,2013-14,19.3,5.0,.497,MIA,15.6,-0.5,1.2,.029
3,.315,22.2,26,0.7,-3.0,coleno01,-1.5,9.3,1.0,.145,75,NBA,1831,-1.5,0.9,0.4,10.9,PG,1.6,2014-15,14.3,5.1,.483,TOT,17.5,-0.5,1.4,.036
4,.333,22.9,26,0.6,-2.9,coleno01,-0.9,9.8,0.8,.150,47,NBA,1148,-2.1,1.3,-0.1,9.9,PG,1.9,2014-15,15.1,5.7,.452,MIA,15.7,-0.3,0.6,.027
5,.294,21.2,26,0.8,-3.1,coleno01,-2.6,8.3,0.3,.139,28,NBA,683,-0.5,0.2,0.5,12.6,PG,1.2,2014-15,13.3,4.2,.520,NOP,20.6,-0.2,0.7,.052
6,.211,22.0,27,0.3,-3.7,coleno01,-1.4,13.5,0.5,.134,45,NBA,1198,-2.4,0.9,-0.6,10.8,PG,1.5,2015-16,12.8,7.0,.465,NOP,21.7,-0.5,-0.1,-0.004
