Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,PER,FGA,MP
132,Larry Bird*,1985-86,29,BOS,NBA,82,81,38.0,9.7,19.6,8.7,17.2,1.0,2.4,5.4,6.0,2.3,7.5,9.8,6.8,2.0,0.6,3.2,2.2,25.8,.496,.506,.423,.521,.896,.580,25.6,1606,3113
133,Kobe Bryant,2006-07,28,LAL,NBA,77,77,40.8,10.6,22.8,8.8,17.6,1.8,5.2,8.7,10.0,1.0,4.7,5.7,5.4,1.4,0.5,3.3,2.7,31.6,.463,.497,.344,.502,.868,.580,26.1,1757,3140
134,Elton Brand,2005-06,26,LAC,NBA,79,79,39.2,9.6,18.2,9.6,18.1,0.0,0.0,5.6,7.2,3.0,7.0,10.0,2.6,1.0,2.5,2.2,2.9,24.7,.527,.527,.333,.527,.775,.580,26.5,1435,3099
135,Tim Duncan,2006-07,30,SAS,NBA,80,80,34.1,7.7,14.1,7.7,14.0,0.0,0.1,4.5,7.1,2.7,7.9,10.6,3.4,0.8,2.4,2.8,2.5,20.0,.546,.550,.111,.547,.637,.579,26.1,1131,2726
136,Robert Parish*,1980-81,27,BOS,NBA,82,78,28.0,7.7,14.2,7.7,14.2,0.0,0.0,3.4,4.8,3.0,6.5,9.5,1.8,1.0,2.6,2.3,3.8,18.9,.545,.545,.000,.545,.710,.579,25.2,1166,2298
137,Michael Jordan*,1991-92,28,CHI,NBA,80,80,38.8,11.8,22.7,11.5,21.5,0.3,1.3,6.1,7.4,1.1,5.3,6.4,6.1,2.3,0.9,2.5,2.5,30.1,.519,.533,.270,.526,.832,.579,27.7,1818,3102
138,Dirk Nowitzki,2004-05,26,DAL,NBA,78,78,38.7,8.5,18.5,7.3,15.6,1.2,2.9,7.9,9.1,1.2,8.5,9.7,3.1,1.2,1.5,2.3,2.8,26.1,.459,.470,.399,.490,.869,.578,26.1,1445,3020
139,Shaquille O'Neal,1999-00,27,LAL,NBA,79,79,40.0,12.1,21.1,12.1,21.1,0.0,0.0,5.5,10.4,4.3,9.4,13.6,3.8,0.5,3.0,2.8,3.2,29.7,.574,.575,.000,.574,.524,.578,30.6,1665,3163
140,Chris Paul,2010-11,25,NOH,NBA,80,80,36.0,5.4,11.6,4.5,9.3,0.9,2.3,4.2,4.8,0.5,3.6,4.1,9.8,2.4,0.1,2.2,2.5,15.9,.463,.482,.388,.502,.878,.578,23.7,928,2880
141,LeBron James,2015-16,31,CLE,NBA,72,72,35.7,9.6,18.8,8.5,15.0,1.1,3.8,4.8,6.6,1.4,6.0,7.5,6.7,1.4,0.6,3.2,1.9,25.1,.510,.565,.292,.540,.725,.578,27.1,1352,2569
142,Shaquille O'Neal,2003-04,31,LAL,NBA,67,67,36.8,8.3,14.1,8.3,14.1,0.0,0.0,4.9,10.1,3.7,7.8,11.5,2.9,0.5,2.5,2.9,3.4,21.5,.584,.584,,.584,.490,.578,24.4,948,2464
143,Moses Malone*,1982-83,27,PHI,NBA,78,78,37.5,8.4,16.7,8.4,16.7,0.0,0.0,7.7,10.1,5.7,9.6,15.3,1.3,1.1,2.0,3.4,2.6,24.5,.501,.502,.000,.501,.761,.578,25.1,1305,2922
