PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
"Rajon Rondo, SAC",70,35.2,0.504,42.8,14.3,21.3,3.4,15.0,9.2,16.80,213.5,7.1
"Marreese Speights, GS",65,11.7,0.504,9.9,10.4,27.4,10.6,19.6,15.4,16.79,70.1,2.3
"Tony Parker, SA",67,27.3,0.552,29.8,10.1,21.6,1.1,9.0,5.2,16.77,157.8,5.3
"Dennis Schroder, ATL",74,20.5,0.525,25.5,12.9,28.1,1.7,12.0,7.0,16.76,130.2,4.3
"Khris Middleton, MIL",75,36.4,0.559,18.2,9.8,22.2,1.9,10.0,6.0,16.70,252.5,8.4
"Will Barton, DEN",77,28.7,0.544,13.8,9.9,22.5,2.8,20.6,11.6,16.69,204.3,6.8
"Jordan Hill, IND",71,20.8,0.539,10.9,11.9,19.1,11.2,21.2,16.2,16.67,133.5,4.5
"Mason Plumlee, POR",76,25.3,0.553,21.1,15.0,17.1,10.5,22.0,16.2,16.57,171.6,5.7
"Marvin Williams, CHA",73,29.1,0.579,11.2,6.3,15.3,5.9,19.3,12.5,16.57,160.9,5.4
"Ian Mahinmi, IND",65,25.7,0.597,14.1,12.9,14.7,8.1,21.9,15.0,16.48,146.5,4.9
"Zaza Pachulia, DAL",69,26.7,0.547,14.7,13.8,15.6,13.5,26.2,19.9,16.41,159.7,5.3
"Andrew Wiggins, MIN",74,35.1,0.539,8.7,9.6,25.2,4.4,7.6,6.0,16.41,229.0,7.6
"Jeremy Lamb, CHA",60,19.0,0.532,11.6,7.2,20.6,4.0,18.6,11.2,16.34,99.5,3.3
"Chandler Parsons, DAL",61,29.5,0.589,17.3,9.7,19.4,1.8,15.6,8.7,16.27,154.9,5.2
"Nerlens Noel, PHI",62,29.1,0.546,12.7,17.0,17.7,8.4,22.1,15.0,16.25,128.0,4.3
"Jae Crowder, BOS",67,31.9,0.572,12.0,7.6,17.5,3.1,14.3,8.6,16.14,180.0,6.0
"Nene , WSH",51,19.1,0.560,15.1,11.6,19.8,4.4,21.3,12.7,16.12,80.3,2.7
"Tobias Harris, DET/ORL",70,32.9,0.557,13.5,8.8,20.1,4.3,18.6,11.3,16.09,192.1,6.4
"Dewayne Dedmon, ORL",52,12.3,0.588,5.7,12.7,13.7,10.4,25.0,17.6,16.07,52.1,1.7
"Kelly Olynyk, BOS",62,20.5,0.558,12.9,9.7,20.1,5.5,16.0,10.7,16.05,103.4,3.4
"Amir Johnson, BOS",72,22.8,0.601,18.7,13.4,13.3,10.6,18.9,14.6,16.03,110.7,3.7
"Richaun Holmes, PHI",51,13.8,0.564,10.3,10.0,16.6,9.4,11.7,10.5,16.01,47.2,1.6
"Joffrey Lauvergne, DEN",55,17.3,0.574,10.2,10.0,18.0,8.4,22.7,15.5,15.99,76.5,2.6
"Andrew Bogut, GS",65,20.6,0.613,29.4,15.1,11.8,9.7,25.9,18.2,15.94,106.6,3.6
"T.J. Warren, PHX",47,22.8,0.549,8.1,5.9,18.8,5.7,9.4,7.5,15.89,86.1,2.9
"Jon Leuer, PHX",63,18.7,0.555,11.1,11.4,18.8,6.0,25.5,15.5,15.89,77.1,2.6
"Tristan Thompson, CLE",75,28.0,0.611,9.3,9.6,11.1,13.5,23.5,18.5,15.82,163.7,5.5
"Cody Zeller, CHA",66,24.7,0.589,10.3,10.4,14.6,8.3,19.8,14.0,15.82,126.8,4.2
"Nicolas Batum, CHA",65,35.6,0.549,25.5,13.2,21.2,2.4,17.1,9.7,15.82,183.9,6.1
"Bradley Beal, WSH",50,31.1,0.547,13.9,9.6,23.8,2.3,10.3,6.2,15.71,120.8,4.0
"Taj Gibson, CHI",73,26.5,0.556,14.2,10.4,13.9,11.3,15.8,13.6,15.70,121.3,4.0
"Willie Cauley-Stein, SAC",59,20.2,0.602,6.3,9.6,12.2,10.6,17.4,14.0,15.68,90.4,3.0
"Mirza Teletovic, PHX",72,20.5,0.568,8.9,7.7,21.3,3.1,16.0,9.4,15.65,91.2,3.0
"Darren Collison, SAC",70,29.6,0.585,24.0,9.7,19.0,1.4,6.7,4.1,15.64,143.6,4.8
"Patty Mills, SA",74,20.5,0.555,23.9,7.9,19.3,2.0,9.0,5.7,15.49,101.8,3.4
"Myles Turner, IND",53,22.9,0.524,5.4,9.0,19.2,5.5,20.4,13.0,15.44,71.4,2.4
"Rudy Gay, SAC",65,33.8,0.543,8.8,10.0,20.6,4.5,15.5,10.0,15.36,159.4,5.3
"Steven Adams, OKC",74,25.0,0.625,9.1,13.1,11.9,12.0,16.0,14.1,15.32,130.5,4.4
"Ish Smith, NO/PHI",70,28.5,0.460,29.3,9.8,22.1,2.0,13.2,7.4,15.31,128.1,4.3
"J.J. Barea, DAL",69,22.1,0.535,26.5,9.7,23.1,1.8,7.9,4.9,15.14,94.2,3.1
"Goran Dragic, MIA",64,33.0,0.534,27.8,12.0,21.7,2.2,10.4,6.4,15.07,128.0,4.3
"Ramon Sessions, WSH",75,19.6,0.556,20.3,10.8,21.0,1.7,12.6,7.0,15.06,88.9,3.0
"Nikola Mirotic, CHI",59,24.4,0.553,11.1,11.7,19.9,3.9,19.8,12.0,15.00,75.2,2.5
"Bismack Biyombo, TOR",74,22.6,0.593,5.9,15.1,10.5,11.7,29.8,20.8,15.00,109.8,3.7
"Luol Deng, MIA",66,32.1,0.546,12.6,7.3,16.3,5.2,15.2,10.3,14.96,140.8,4.7
"Brandon Knight, PHX",52,36.0,0.522,18.6,12.5,25.9,2.1,9.9,5.9,14.87,108.0,3.6
"Kosta Koufos, SAC",72,18.4,0.545,4.9,8.7,13.8,12.4,18.2,15.3,14.86,84.1,2.8
"Jabari Parker, MIL",69,31.3,0.536,10.6,9.3,19.0,5.9,12.7,9.3,14.85,108.1,3.6
"Timofey Mozgov, CLE",70,17.4,0.591,5.7,14.2,15.3,10.0,18.7,14.4,14.83,76.8,2.6
"Quincy Acy, SAC",52,14.2,0.661,9.2,9.2,11.2,8.0,15.0,11.6,14.67,45.8,1.5
"T.J. McConnell, PHI",74,19.8,0.519,36.2,14.5,18.1,2.9,15.0,8.8,14.66,80.2,2.7
"Andrew Nicholson, ORL",50,14.6,0.559,6.3,10.2,19.1,4.6,23.1,13.7,14.61,33.9,1.1
"Deron Williams, DAL",62,32.3,0.528,27.3,10.8,21.9,1.0,8.8,4.9,14.59,107.4,3.6
"Jarrett Jack, BKN",32,32.1,0.505,32.0,12.8,22.8,1.0,14.1,7.5,14.59,55.0,1.8
"Marcus Thornton, HOU/WSH",56,18.1,0.508,11.7,7.1,23.2,3.7,10.8,7.2,14.58,61.7,2.1
"Otto Porter Jr., WSH",68,30.7,0.560,12.6,7.3,15.4,4.6,14.8,9.6,14.55,126.2,4.2
"Evan Fournier, ORL",72,32.1,0.584,15.4,9.3,19.0,1.4,8.4,4.8,14.55,139.7,4.7
"Jordan Clarkson, LAL",72,32.2,0.515,12.9,8.8,21.9,3.8,9.7,6.6,14.52,121.6,4.1
"JaMychal Green, MEM",71,18.1,0.530,9.2,12.1,18.5,10.0,19.4,14.5,14.51,57.6,1.9
"Tyler Zeller, BOS",54,11.9,0.529,6.2,12.1,21.6,9.6,17.7,13.6,14.47,37.0,1.2
"Ersan Ilyasova, DET/ORL",70,25.5,0.525,7.9,8.1,17.8,8.1,15.6,11.7,14.43,78.0,2.6
"Jason Smith, ORL",69,15.6,0.520,8.9,9.4,20.8,4.6,15.1,9.8,14.42,46.9,1.6
"Rodney Hood, UTAH",72,31.9,0.549,15.0,9.0,20.8,1.7,10.4,6.1,14.40,133.7,4.5
"Alec Burks, UTAH",28,27.1,0.518,11.9,9.9,25.2,2.5,12.9,7.7,14.38,44.1,1.5
"Zach LaVine, MIN",75,27.6,0.547,17.1,10.7,22.9,1.4,10.3,5.9,14.35,103.5,3.5
"D.J. Augustin, DEN/OKC",57,19.1,0.580,29.2,11.8,22.5,0.8,8.2,4.6,14.29,53.5,1.8
