Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,MP
253,Elgin Baylor*,1963-64,29,LAL,NBA,78,,40.6,9.7,22.8,9.7,22.8,,,6.0,7.5,,,12.0,4.4,,,,3.0,25.4,.425,.425,,.425,.804,.487,3164
254,Austin Carr,1973-74,25,CLE,NBA,81,,38.3,9.2,20.8,9.2,20.8,,,3.4,4.0,1.7,1.9,3.6,3.8,1.1,0.2,,2.3,21.9,.445,.445,,.445,.856,.486,3100
255,Chris Webber,2002-03,29,SAC,NBA,67,67,39.1,9.9,21.4,9.8,21.1,0.1,0.3,3.2,5.3,2.4,8.1,10.5,5.4,1.6,1.3,3.2,3.0,23.0,.461,.465,.238,.463,.607,.485,2622
256,Bill Sharman*,1957-58,31,BOS,NBA,63,,35.1,8.7,20.6,8.7,20.6,,,4.8,5.4,,,4.7,2.7,,,,2.5,22.3,.424,.424,,.424,.893,.485,2214
257,Rick Barry*,1975-76,31,GSW,NBA,81,,38.5,8.7,20.0,8.7,20.0,,,3.5,3.8,0.9,5.2,6.1,6.1,2.5,0.3,,2.7,21.0,.435,.435,,.435,.923,.483,3122
258,Clyde Lovellette*,1957-58,28,CIN,NBA,71,,36.5,9.6,21.7,9.6,21.7,,,4.2,5.7,,,12.1,1.9,,,,3.3,23.4,.441,.441,,.441,.743,.483,2589
259,Elvin Hayes*,1968-69,23,SDR,NBA,82,,45.1,11.3,25.4,11.3,25.4,,,5.7,9.1,,,17.1,1.4,,,,3.2,28.4,.447,.447,,.447,.626,.483,3695
260,Tom Heinsohn*,1961-62,27,BOS,NBA,79,,30.2,8.8,20.4,8.8,20.4,,,4.5,5.5,,,9.5,2.1,,,,3.5,22.1,.429,.429,,.429,.819,.482,2383
261,George McGinnis,1975-76,25,PHI,NBA,77,,38.3,8.4,20.2,8.4,20.2,,,6.2,8.3,3.4,9.2,12.6,4.7,2.6,0.5,,4.3,23.0,.417,.417,,.417,.740,.482,2946
262,Dave Bing*,1968-69,25,DET,NBA,77,,39.5,8.8,20.7,8.8,20.7,,,5.8,8.1,,,5.0,7.1,,,,3.3,23.4,.425,.425,,.425,.713,.482,3039
