Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,MP
119,Dave Bing*,1970-71,27,DET,NBA,82,,37.4,9.7,20.9,9.7,20.9,,,7.5,9.4,,,4.4,5.0,,,,2.8,27.0,.467,.467,,.467,.797,.540,3065
120,Mark Aguirre,1987-88,28,DAL,NBA,77,77,33.9,9.7,20.4,9.0,18.2,0.7,2.2,5.0,6.5,2.4,3.3,5.6,3.6,0.9,0.7,2.6,2.9,25.1,.475,.496,.302,.491,.770,.539,2610
121,Bob Lanier*,1971-72,23,DET,NBA,80,,38.7,10.4,21.1,10.4,21.1,,,4.9,6.3,,,14.2,3.1,,,,3.7,25.7,.493,.493,,.493,.768,.538,3092
122,Wilt Chamberlain*,1963-64,27,SFW,NBA,80,,46.1,15.1,28.7,15.1,28.7,,,6.8,12.7,,,22.3,5.0,,,,2.3,36.9,.524,.524,,.524,.531,.537,3689
123,Russell Westbrook,2014-15,26,OKC,NBA,67,67,34.4,9.4,22.0,8.1,17.7,1.3,4.3,8.1,9.8,1.9,5.4,7.3,8.6,2.1,0.2,4.4,2.7,28.1,.426,.457,.299,.455,.835,.536,2302
124,Wilt Chamberlain*,1961-62,25,PHW,NBA,80,,48.5,20.0,39.5,20.0,39.5,,,10.4,17.0,,,25.7,2.4,,,,1.5,50.4,.506,.506,,.506,.613,.536,3882
125,Dominique Wilkins*,1985-86,26,ATL,NBA,78,78,39.1,11.4,24.3,11.2,23.4,0.2,0.9,7.4,9.0,3.3,4.6,7.9,2.6,1.8,0.6,3.2,2.2,30.3,.468,.479,.186,.472,.818,.536,3049
126,Monta Ellis,2010-11,25,GSW,NBA,80,80,40.3,9.1,20.1,7.4,15.4,1.7,4.7,4.3,5.4,0.6,3.0,3.5,5.6,2.1,0.3,3.2,2.5,24.1,.451,.478,.361,.493,.789,.536,3227
127,Gary Payton*,1999-00,31,SEA,NBA,82,82,41.8,9.1,20.3,7.0,14.0,2.2,6.3,3.8,5.2,1.2,5.2,6.5,8.9,1.9,0.2,2.7,2.2,24.2,.448,.497,.340,.502,.735,.535,3425
128,Bob Pettit*,1963-64,31,STL,NBA,80,,41.2,9.9,21.4,9.9,21.4,,,7.6,9.6,,,15.3,3.2,,,,3.8,27.4,.463,.463,,.463,.789,.535,3296
129,Alex English*,1987-88,34,DEN,NBA,80,80,35.2,10.5,21.3,10.5,21.2,0.0,0.1,3.9,4.7,2.1,2.6,4.7,4.7,0.9,0.3,2.3,2.4,25.0,.495,.496,.000,.495,.828,.535,2818
130,Dominique Wilkins*,1987-88,28,ATL,NBA,78,76,37.8,11.7,25.1,11.2,23.4,0.5,1.7,6.9,8.4,2.7,3.7,6.4,2.9,1.3,0.6,2.8,2.1,30.7,.464,.476,.295,.474,.826,.534,2948
131,Michael Jordan*,1997-98,34,CHI,NBA,82,82,38.8,10.7,23.1,10.4,21.5,0.4,1.5,6.9,8.8,1.6,4.2,5.8,3.5,1.7,0.5,2.3,1.8,28.7,.465,.482,.238,.473,.784,.533,3181
132,Purvis Short,1984-85,27,GSW,NBA,78,77,39.5,10.5,22.8,9.9,20.9,0.6,1.9,6.4,7.9,2.0,3.1,5.1,3.0,1.5,0.3,3.1,3.3,28.0,.460,.474,.313,.473,.817,.533,3081
133,Paul Pierce,2002-03,25,BOS,NBA,79,79,39.2,8.4,20.2,6.9,15.2,1.5,4.9,7.6,9.5,1.3,6.0,7.3,4.4,1.8,0.8,3.6,2.9,25.9,.416,.454,.302,.454,.802,.532,3096
134,Jack Twyman*,1960-61,26,CIN,NBA,79,,37.0,10.1,20.7,10.1,20.7,,,5.1,7.0,,,8.5,2.8,,,,3.5,25.3,.488,.488,,.488,.731,.532,2920
135,Tracy McGrady,2001-02,22,ORL,NBA,76,76,38.3,9.4,20.9,8.1,17.1,1.4,3.7,5.5,7.3,2.0,5.9,7.9,5.3,1.6,1.0,2.5,1.8,25.6,.451,.470,.364,.483,.748,.532,2912
136,Spencer Haywood*,1972-73,23,SEA,NBA,77,,42.3,11.5,24.3,11.5,24.3,,,6.1,7.3,,,12.9,2.5,,,,2.8,29.2,.476,.476,,.476,.839,.532,3259
137,Allen Iverson,2004-05,29,PHI,NBA,75,75,42.3,10.3,24.2,8.9,19.7,1.4,4.5,8.7,10.5,0.7,3.3,4.0,7.9,2.4,0.1,4.6,1.9,30.7,.424,.451,.308,.453,.835,.532,3174
138,Alex English*,1988-89,35,DEN,NBA,82,82,36.5,11.3,22.9,11.2,22.8,0.0,0.1,4.0,4.6,1.8,2.2,4.0,4.7,0.8,0.1,2.4,2.1,26.5,.491,.492,.250,.492,.858,.531,2990
139,Carmelo Anthony,2014-15,30,NYK,NBA,40,40,35.7,9.0,20.2,7.4,15.7,1.5,4.5,4.7,5.9,1.8,4.8,6.6,3.1,1.0,0.4,2.2,2.2,24.2,.444,.474,.341,.482,.797,.531,1428
140,Rick Barry*,1966-67,22,SFW,NBA,78,,40.7,13.0,28.7,13.0,28.7,,,9.7,10.9,,,9.2,3.6,,,,3.3,35.6,.451,.451,,.451,.884,.531,3175
141,Chris Webber,1999-00,26,SAC,NBA,75,75,38.4,10.0,20.6,9.6,19.4,0.4,1.3,4.1,5.5,2.5,8.0,10.5,4.6,1.6,1.7,2.9,3.5,24.5,.483,.496,.284,.492,.751,.530,2880
142,Michael Adams,1990-91,28,DEN,NBA,66,66,35.5,8.5,21.5,6.0,13.0,2.5,8.5,7.0,8.0,0.9,3.0,3.9,10.5,2.2,0.1,3.6,2.5,26.5,.394,.459,.296,.453,.879,.530,2346
143,Fred Brown,1975-76,27,SEA,NBA,76,,33.1,9.8,20.0,9.8,20.0,,,3.6,4.1,1.5,2.7,4.2,2.7,1.9,0.2,,2.4,23.1,.488,.488,,.488,.869,.529,2516
144,Dominique Wilkins*,1993-94,34,TOT,NBA,74,74,35.6,9.4,21.5,8.3,17.5,1.1,4.0,6.0,7.1,2.5,4.0,6.5,2.3,1.2,0.4,2.3,1.7,26.0,.440,.474,.288,.466,.847,.529,2635
145,Jeff Malone,1989-90,28,WSB,NBA,75,74,34.2,10.4,21.2,10.4,21.1,0.0,0.1,3.4,3.9,0.7,2.0,2.7,3.2,0.6,0.1,1.7,1.5,24.3,.491,.492,.167,.491,.877,.529,2567
146,Dominique Wilkins*,1988-89,29,ATL,NBA,80,80,37.5,10.2,22.0,9.8,20.6,0.4,1.3,5.5,6.6,3.2,3.7,6.9,2.6,1.5,0.7,2.3,1.7,26.2,.464,.475,.276,.472,.844,.528,2997
147,Lou Hudson,1972-73,28,ATL,NBA,75,,40.4,10.9,22.8,10.9,22.8,,,5.3,6.4,,,6.2,3.4,,,,2.6,27.1,.477,.477,,.477,.825,.528,3027
148,Spencer Haywood*,1971-72,22,SEA,NBA,73,,43.4,9.8,21.3,9.8,21.3,,,6.6,8.0,,,12.7,2.0,,,,2.8,26.2,.461,.461,,.461,.819,.527,3167
149,Lou Hudson,1970-71,26,ATL,NBA,76,,41.0,10.9,22.5,10.9,22.5,,,5.0,6.6,,,5.1,3.4,,,,2.4,26.8,.484,.484,,.484,.759,.527,3113
150,Bob Lanier*,1972-73,24,DET,NBA,81,,38.9,10.0,20.4,10.0,20.4,,,3.8,4.9,,,14.9,3.2,,,,3.4,23.8,.490,.490,,.490,.773,.527,3150
151,Bernard King*,1990-91,34,WSB,NBA,64,64,37.5,11.1,23.6,11.0,23.0,0.1,0.6,6.0,7.6,1.8,3.2,5.0,4.6,0.9,0.3,4.0,2.9,28.4,.472,.478,.216,.475,.790,.527,2401
152,Kobe Bryant,2011-12,33,LAL,NBA,58,58,38.5,9.9,23.0,8.4,18.1,1.5,4.9,6.6,7.8,1.1,4.3,5.4,4.6,1.2,0.3,3.5,1.8,27.9,.430,.464,.303,.462,.845,.527,2232
153,Tracy McGrady,2003-04,24,ORL,NBA,67,67,39.9,9.7,23.4,7.1,15.7,2.6,7.7,5.9,7.5,1.4,4.6,6.0,5.5,1.4,0.6,2.7,1.9,28.0,.417,.455,.339,.473,.796,.526,2675
154,Tracy McGrady,2004-05,25,HOU,NBA,78,78,40.8,9.2,21.3,7.3,15.7,1.8,5.6,5.5,7.1,0.9,5.3,6.2,5.7,1.7,0.7,2.6,2.1,25.7,.431,.468,.326,.473,.774,.526,3182
155,Calvin Murphy*,1977-78,29,HOU,NBA,76,,38.2,11.2,22.9,11.2,22.9,,,3.2,3.5,0.8,1.4,2.2,3.4,1.5,0.0,2.3,3.2,25.6,.491,.491,,.491,.918,.525,2900
156,Geoff Petrie,1973-74,25,POR,NBA,73,,38.4,10.1,21.1,10.1,21.1,,,4.0,4.7,0.9,2.0,2.8,4.3,1.2,0.2,,2.7,24.3,.481,.481,,.481,.853,.525,2800
157,Mike Mitchell,1983-84,28,SAS,NBA,79,79,36.1,9.9,20.2,9.8,20.0,0.1,0.2,3.5,4.5,2.4,4.8,7.2,1.2,0.8,0.9,1.8,3.2,23.3,.488,.488,.429,.490,.779,.525,2853
158,Bob Pettit*,1962-63,30,STL,NBA,79,,39.1,9.8,22.1,9.8,22.1,,,8.7,11.2,,,15.1,3.1,,,,3.6,28.4,.446,.446,,.446,.774,.525,3090
159,Jerry West*,1961-62,23,LAL,NBA,75,,41.2,10.7,23.9,10.7,23.9,,,9.5,12.3,,,7.9,5.4,,,,2.3,30.8,.445,.445,,.445,.769,.524,3087
160,Pete Maravich*,1975-76,28,NOJ,NBA,62,,38.3,9.7,21.2,9.7,21.2,,,6.4,7.9,0.7,4.1,4.8,5.4,1.4,0.4,,3.2,25.9,.459,.459,,.459,.811,.524,2373
161,Billy Cunningham*,1969-70,26,PHI,NBA,81,,39.4,9.9,21.1,9.9,21.1,,,6.3,8.6,,,13.6,4.3,,,,4.1,26.1,.469,.469,,.469,.729,.524,3194
162,Jerry West*,1962-63,24,LAL,NBA,55,,39.3,10.2,22.1,10.2,22.1,,,6.7,8.7,,,7.0,5.6,,,,2.7,27.1,.461,.461,,.461,.778,.523,2163
163,Bob Pettit*,1961-62,29,STL,NBA,78,,42.1,11.1,24.7,11.1,24.7,,,8.9,11.6,,,18.7,3.7,,,,3.8,31.1,.450,.450,,.450,.771,.522,3282
164,Cliff Hagan*,1959-60,28,STL,NBA,75,,37.3,9.6,20.7,9.6,20.7,,,5.6,7.0,,,10.7,4.0,,,,3.6,24.8,.464,.464,,.464,.803,.522,2798
165,Glenn Robinson,1997-98,25,MIL,NBA,56,56,41.0,9.5,20.3,9.1,19.1,0.4,1.2,3.8,4.8,1.5,4.0,5.5,2.8,1.2,0.6,3.6,2.9,23.4,.470,.475,.385,.481,.808,.522,2294
166,Gary Payton*,2000-01,32,SEA,NBA,79,79,41.1,9.2,20.1,7.9,16.7,1.3,3.4,3.4,4.5,0.9,3.6,4.6,8.1,1.6,0.3,2.6,2.3,23.1,.456,.472,.375,.488,.766,.522,3244
