Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
14,14,5/25/2015,27-072,GSW,@,HOU,L (-13),1,30:59:00,7,18,0.389,6,13,0.462,3,3,1,1,0,1,4,0,0,0,3,23,15.5,-20
15,15,5/27/2015,27-074,GSW,,HOU,W (+14),1,41:48:00,7,21,0.333,3,11,0.273,9,12,0.75,1,7,8,6,5,0,3,3,26,20.7,1
16,16,6/4/2015,27-082,GSW,,CLE,W (+8),1,42:39:00,10,20,0.5,2,6,0.333,4,4,1,0,4,4,8,2,0,4,1,26,20.4,4
17,17,6/7/2015,27-085,GSW,,CLE,L (-2),1,42:16:00,5,23,0.217,2,15,0.133,7,8,0.875,0,6,6,5,0,0,6,4,19,2.2,-2
18,18,6/9/2015,27-087,GSW,@,CLE,L (-5),1,43:46:00,10,20,0.5,7,13,0.538,0,0,,2,4,6,6,3,1,6,2,27,20.7,-6
19,19,6/11/2015,27-089,GSW,@,CLE,W (+21),1,41:03:00,8,17,0.471,4,7,0.571,2,2,1,0,2,2,7,1,0,4,1,22,15.4,18
20,20,6/14/2015,27-092,GSW,,CLE,W (+13),1,42:07:00,13,23,0.565,7,13,0.538,4,4,1,3,4,7,4,2,0,5,2,37,28.4,24
21,21,6/16/2015,27-094,GSW,@,CLE,W (+8),1,43:06:00,8,19,0.421,3,11,0.273,6,8,0.75,0,6,6,8,3,0,3,3,25,20.3,14
1,1,10/27/2015,27-227,GSW,,NOP,W (+16),1,35:37:00,14,26,0.538,5,12,0.417,7,7,1,3,3,6,7,2,0,2,1,40,34.9,12
2,2,10/30/2015,27-230,GSW,@,HOU,W (+20),1,27:24:00,9,15,0.6,4,9,0.444,3,4,0.75,0,7,7,6,1,0,1,4,25,22.4,12
3,3,10/31/2015,27-231,GSW,@,NOP,W (+14),1,35:38:00,17,27,0.63,8,14,0.571,11,11,1,0,4,4,9,4,0,2,3,53,49.2,16
4,4,11/2/2015,27-233,GSW,,MEM,W (+50),1,28:24:00,10,16,0.625,4,8,0.5,6,6,1,1,2,3,3,3,1,3,2,30,26.1,37
5,5,11/4/2015,27-235,GSW,,LAC,W (+4),1,32:38:00,8,17,0.471,7,11,0.636,8,9,0.889,0,5,5,4,1,0,0,3,31,26,7
